Token;accord
-0;
Qu';
on;
s';
occupe;
de;
sa;
mallel;
fit;
brusquement;
M.;
Eyssette;
0;
il;
"
";
part;
demain;
matin;
par;
le;
bateau;
.;
"
";
Mme;
Eyssette;
poussa;
un;
gros;
soupir;
0;
Jacques;
esquissa;
un;
sanglot;
0;
"
";
et;
tout;
fut;
dit;
.;
"
";
On;
commencait;
a;
etre;
fait;
au;
malheur;
dans;
cette;
maison;
-0;
la;
"
";
Le;
lendemain;
de;
cette;
journee;
memorable;
0;
toute;
la;
famille;
accom-;
"
";
pagna;
le;
petit;
Chose;
au;
bateau;
.;
Par;
une;
coincidence;
singuliere;
0;
c';
etait;
"
";
le;
meme;
bateau;
qui;
avait;
amene;
les;
Eyssette;
a;
Lyon;
six;
ans;
auparavant;
.;
"
";
Capitaine;
Genies;
0;
maitre;
-0;
coq;
Montelimartl;
Naturellement;
on;
se;
"
";
rappela;
le;
parapluie;
d';
Annou;
0;
le;
perroquet;
de;
Robinson;
0;
et;
quelques;
"
";
autres;
episodes;
du;
debarquement;
...;
Ces;
souvenirs;
egayerent;
un;
peu;
"
";
ce;
triste;
depart;
0;
et;
amenerent;
l';
ombre;
d';
un;
sourire;
sur;
les;
levres;
de;
"
";
Me;
Eyssette;
.;
"
";
Tout;
a;
coup;
la;
cloche;
sonna;
.;
Il;
fallait;
partir.3e;
"
";
LE;
PETIT;
CHOSE;
"
";
Le;
petit;
Chose;
0;
s';
arrachant;
aux;
etreintes;
de;
ses;
amis;
0;
franchit;
"
";
bravement;
la;
passerelle;
...;
"
";
-0;
Sois;
serieux;
0;
lui;
cria;
son;
pere;
.;
"
";
-0;
Ne;
sois;
pas;
malade;
0;
dit;
Mme;
Eyssette;
.;
"
";
Iacques;
voulait;
parler;
0;
mais;
il;
ne;
put;
pas;
";";
il;
pleurait;
trop;
.;
"
";
Le;
petit;
Chose;
ne;
pleurait;
pas;
0;
lui;
.;
Comme;
j';
ai;
eu;
l';
honneur;
de;
"
";
vous;
le;
dire;
0;
c';
etait;
un;
grand;
philosophe;
0;
et;
positivement;
les;
philo-;
"
";
sophes;
ne;
doivent;
pas;
s';
attendrir;
...;
"
";
Et;
pourtant;
0;
Dieu;
sait;
s';
il;
les;
aimait;
0;
ces;
cheres;
creatures;
qu';
il;
"
";
laissait;
derriere;
lui;
0;
dans;
le;
brouillard;
.;
Dieu;
sait;
s';
il;
aurait;
donne;
volon-;
"
";
tiers;
pour;
elles;
tout;
son;
sang;
et;
toute;
sa;
chair;
...;
IMais;
que;
voulez;
-vous;
"
";
La;
joie;
de;
quitter;
Lyon;
0;
le;
mouvement;
du;
bateau;
0;
l';
ivresse;
du;
voyage;
0;
"
";
l';
orgueil;
de;
se;
sentir;
homme;
0;
-0;
homme;
libre;
0;
homme;
fait;
0;
voyageant;
"
";
seul;
et;
gagnant;
sa;
vie;
0;
-0;
tout;
cela;
grisait;
le;
petit;
Chose;
et;
l';
empechait;
"
";
de;
songer;
0;
comme;
il;
aurait;
d;
0;
aux;
trois;
etres;
cheris;
qui;
sanglotaient;
"
";
la;
-0;
bas;
0;
debout;
sur;
les;
quais;
du;
Rhone;
...;
"
";
Ahl;
ce;
n';
etaient;
pas;
des;
philosophes;
0;
ces;
trois-la;
.;
D';
un;
aeil;
anxicux;
"
";
et;
plein;
de;
tendresse;
0;
ils;
suivaient;
la;
marche;
asthmatique;
du;
navire;
0;
"
";
et;
son;
panache;
de;
fumee;
n';
etait;
pas;
plus;
gros;
qu';
une;
hirondelle;
a;
"
";
l';
horizon;
0;
qu';
ils;
criaient;
encore;
:;
aAdieul;
adieuln;
en;
faisant;
des;
signes;
.;
"
";
Pendant;
ce;
temps;
0;
monsieur;
le;
philosophe;
se;
promenait;
de;
long;
"
";
en;
large;
sur;
le;
pont;
0;
les;
mains;
dans;
les;
poches;
0;
la;
tete;
au;
vent;
.;
Il;
sifflotait;
0;
"
";
crachait;
tres;
loin;
0;
regardait;
les;
dames;
sous;
le;
nez;
0;
inspectait;
la;
maneuvre;
"
";
marchait;
des;
epaules;
comme;
un;
gros;
homme;
0;
se;
trouvait;
charmant;
.;
"
";
Avant;
qu';
on;
ft;
seulement;
a;
Vienne;
0;
il;
avait;
appris;
au;
maitre;
-0;
coq;
"
";
Montelimart;
et;
a;
ses;
deux;
marmitons;
qu';
il;
etait;
dans;
1'Universite;
et;
"
";
qu';
il;
y;
gagnait;
fort;
bien;
sa;
vie;
...;
Ces;
messieurs;
lui;
en;
firent;
compli-;
"
";
ment;
.;
Cela;
le;
rendit;
tres;
fier;
.;
"
";
Une;
fois;
0;
en;
se;
promenant;
d';
un;
bout;
a;
l';
autre;
du;
navire;
0;
notre;
"
";
philosophe;
heurta;
du;
pied;
0;
a;
l';
avant;
0;
pres;
de;
la;
grosse;
cloche;
0;
un;
paquet;
"
";
de;
cordes;
sur;
lequel;
0;
a;
six;
ans;
de;
la;
0;
Robinson;
Crusoe;
0;
etait;
venu;
"
";
s';
asseoir;
pendant;
de;
longues;
heures;
0;
son;
perroquet;
entre;
les;
jambes;
.;
"
";
Ce;
paquet;
de;
cordes;
le;
fit;
beaucoup;
rire;
et;
un;
peu;
rougir;
.;
"
";
-0;
Que;
je;
devais;
etre;
ridicule;
0;
pensait;
-il;
0;
de;
trainer;
partout;
avec;
"
";
moi;
cette;
grande;
cage;
peinte;
en;
bleu;
et;
ce;
perroquet;
fantastique;
...;
"
";
Pauvre;
philosophel;
il;
ne;
se;
doutait;
pas;
que;
pendant;
toute;
sa;
vie;
"
";
il;
etait;
condamne;
a;
trafner;
ainsi;
ridiculement;
cette;
cage;
peinte;
en;
bleu;
0;
"
";
couleur;
d';
illusion;
0;
et;
ce;
perroquert;
vert;
0;
couleur;
d';
esperance;
.;
LE;
CAHIER;
ROUGE;
"
";
Helasl;
a;
l';
heure;
ou;
j';
ecris;
ces;
lignes;
0;
le;
malheureux;
gargon;
la;
porte;
"
";
encore;
0;
sa;
grande;
cage;
peinte;
en;
bleu;
.;
Seulement;
de;
jour;
en;
jour;
"
";
l';
azur;
des;
barreaux;
s';
ecaille;
et;
le;
perroquet;
vert;
est;
aux;
trois;
quarts;
"
";
deplume;
0;
pecairel;
"
";
Le;
premier;
soin;
du;
petit;
Chose;
0;
en;
arrivant;
dans;
sa;
ville;
natale;
0;
"
";
fut;
de;
se;
rendre;
a;
l';
Academie;
0;
oi;
logeait;
M.;
le;
recteur;
.;
"
";
Ce;
recteur;
0;
ami;
d';
Eyssette;
pere;
0;
etait;
un;
grand;
beau;
vieux;
0;
alerte;
"
";
et;
sec;
0;
n';
ayant;
rien;
qui;
sentit;
le;
pedant;
0;
ni;
quoi;
que;
ce;
ft;
de;
semblable;
.;
"
";
Il;
accueillit;
Eyssette;
fils;
avec;
une;
grande;
bienveillance;
.;
Toutefois;
0;
"
";
quand;
on;
l';
introduisit;
dans;
son;
cabinet;
0;
le;
brave;
homme;
ne;
put;
retenir;
"
";
un;
geste;
de;
surprise;
.;
"
";
-0;
Ahl;
mon;
Dieul;
dit;
-il;
0;
comme;
il;
est;
petitl;
"
";
Le;
fait;
est;
que;
le;
petit;
Chose;
etait;
ridiculement;
petit;
";";
et;
puis;
l';
air;
"
";
si;
jeune;
0;
si;
mauviette;
.;
"
";
L';
exclamation;
du;
recteur;
lui;
porta;
un;
coup;
terrible;
.;
aIls;
ne;
vont;
"
";
pas;
vouloir;
de;
moi;
0;
pensa;
-t;
-il;
.;
Et;
tout;
son;
corps;
se;
mit;
a;
trembler;
.;
"
";
Heureusement;
0;
comme;
s';
il;
et;
devine;
ce;
qui;
se;
passait;
dans;
cette;
"
";
pauvre;
petite;
cervelle;
0;
le;
recteur;
reprit;
:;
"
";
-0;
Approche;
ici;
0;
mon;
garcon;
...;
Nous;
allons;
donc;
faire;
de;
toi;
un;
"
";
maitre;
d';
etude;
...;
A;
ton;
age;
0;
avec;
cette;
taille;
et;
cette;
figure;
-0;
la;
0;
le;
metier;
"
";
te;
sera;
plus;
dur;
qu';
a;
un;
autre;
...;
Mais;
enfin;
0;
puisqu';
il;
le;
faut;
0;
puisqu';
il;
"
";
faut;
que;
tu;
gagnes;
ta;
vie;
0;
mon;
cher;
enfant;
0;
nous;
arrangerons;
cela;
"
";
pour;
le;
mieux;
...;
En;
commencant;
0;
on;
ne;
te;
mettra;
pas;
dans;
une;
grande;
"
";
baraque;
...;
Je;
vais;
t';
envoyer;
dans;
un;
college;
communal;
0;
a;
quelques;
"
";
lieues;
d';
ici;
0;
a;
Sarlande;
0;
en;
pleine;
montagne;
...;
Lha;
tu;
feras;
ton;
appren-;
"
";
tissage;
d';
homme;
0;
tu;
t';
aguerriras;
au;
metier;
0;
tu;
grandiras;
0;
tu;
prendras;
"
";
de;
la;
barbe;
";";
puis;
0;
le;
poil;
venu;
0;
nous;
verronsl;
"
";
Tout;
en;
parlant;
0;
M.;
le;
recteur;
ecrivait;
au;
principal;
du;
college;
de;
"
";
Sarlande;
pour;
lui;
presenter;
son;
protege;
.;
La;
lettre;
terminee;
0;
il;
la;
remit;
"
";
au;
petit;
Chose;
et;
l';
engagea;
a;
partir;
le;
jour;
meme;
";";
la;
-0;
dessus;
0;
il;
lui;
"
";
donna;
quelques;
sages;
conseils;
et;
le;
congedia;
d';
une;
tape;
amicale;
sur;
la;
"
";
joue;
en;
lui;
promettant;
de;
ne;
pas;
le;
perdre;
de;
vue;
.;
"
";
Voila;
mon;
petit;
Chose;
bien;
content;
.;
Quatre;
a;
quatre;
il;
degringole;
"
";
l';
escalier;
seculaire;
de;
l1'Academie;
et;
s';
en;
va;
d';
une;
haleine;
retenir;
sa;
"
";
place;
pour;
Sarlande;
.;
"
";
La;
diligence;
ne;
part;
que;
dans;
l';
apres-midi;
";";
encore;
quatre;
heures;
"
";
a;
attendrel;
Le;
petit;
Chose;
en;
profite;
pour;
aller;
parader;
au;
soleil;
sur32;
"
";
LE;
PETIT;
CHOSE;
"
";
l';
esplanade;
et;
se;
montrer;
a;
ses;
compatriotes;
.;
Ce;
premier;
devoir;
"
";
accompli;
0;
il;
songe;
a;
prendre;
quelque;
nourriture;
et;
se;
met;
en;
quete;
"
";
d';
un;
cabaret;
a;
portee;
de;
son;
escarcelle;
...;
Juste;
en;
face;
les;
casernes;
0;
il;
"
";
en;
avise;
un;
propret;
0;
reluisant;
0;
avec;
une;
belle;
enseigne;
toute;
neuve;
:;
"
";
AU;
C0MP1GNON;
DU;
TOUR;
DE;
FRANCE;
"
";
-0;
Voici;
mon;
affaire;
0;
se;
dit;
-il;
.;
Et;
apres;
quelques;
minutes;
d';
hesi-;
"
";
tation;
0;
-0;
c';
est;
la;
premiere;
fois;
que;
le;
petit;
Chose;
entre;
dans;
un;
restau-;
"
";
rant;
0;
-0;
il;
pousse;
resolument;
la;
porte;
.;
"
";
Le;
cabaret;
est;
desert;
pour;
le;
moment;
.;
Des;
murs;
peints;
a;
la;
chaux;
...;
0;
"
";
quelques;
tables;
de;
chene;
...;
Dans;
un;
coin;
de;
longues;
cannes;
de;
compa-;
"
";
gnons;
0;
a;
bouts;
de;
cuivre;
0;
ornees;
de;
rubans;
multicolores;
...;
Au;
comptoir;
"
";
un;
gros;
homme;
qui;
ronfle;
0;
le;
nez;
dans;
un;
journal;
.;
"
";
-0;
Holhal;
quelqu';
unl;
dit;
le;
petit;
Chose;
0;
en;
frappant;
de;
son;
poing;
"
";
ferme;
sur;
les;
tables;
0;
comme;
un;
vieux;
coureur;
de;
tavernes;
.;
"
";
Le;
gros;
homme;
du;
comptoir;
ne;
se;
reveille;
pas;
pour;
si;
peu;
";";
mais;
"
";
du;
fond;
de;
l';
arriere;
-0;
boutique;
0;
la;
cabaretiere;
accourt;
...;
En;
voyant;
le;
"
";
nouveau;
client;
que;
l';
ange;
Hasard;
lui;
amene;
0;
elle;
pousse;
un;
grand;
cri;
:;
"
";
-0;
Misericordel;
monsieur;
Daniell;
"
";
-0;
Annoul;
ma;
vieille;
Annoul;
repond;
le;
petit;
Chose;
.;
Et;
les;
voilh;
"
";
dans;
les;
bras;
l';
un;
de;
l';
autre;
.;
"
";
Ehl;
mon;
Dieu;
0;
oui;
0;
c';
est;
Annou;
0;
la;
vieille;
Annou;
0;
anciennement;
"
";
bonne;
des;
Eyssette;
0;
maintenant;
cabaretiere;
0;
mere;
des;
compagnons;
0;
"
";
mariee;
ha;
ean;
Peyrol;
0;
ce;
gros;
qui;
ronfle;
l;
-0;
bas;
dans;
le;
comptoir;
...;
Et;
"
";
comme;
elle;
est;
heureuse;
0;
si;
vous;
saviez;
0;
cette;
brave;
Annou;
0;
comme;
"
";
elle;
est;
heureuse;
de;
revoir;
M.;
Daniell;
Comme;
elle;
l';
embrassel;
comme;
"
";
elle;
1'etreintl;
comme;
elle;
1'etouffel;
"
";
Au;
milieu;
de;
ces;
effusions;
0;
l';
homme;
du;
comptoir;
se;
reveille;
.;
"
";
Il;
s';
etonne;
d';
abord;
un;
peu;
du;
chaleureux;
accueil;
que;
sa;
femme;
"
";
est;
en;
train;
de;
faire;
a;
ce;
jeune;
inconnu;
";";
mais;
quand;
on;
lui;
apprend;
"
";
que;
ce;
jeune;
inconnu;
est;
M.;
Daniel;
Eyssette;
en;
personne;
0;
Jean;
Peyrol;
"
";
devient;
rouge;
de;
plaisir;
et;
s';
empresse;
autour;
de;
son;
illustre;
visiteur;
.;
"
";
-0;
Avez;
-vous;
dejeune;
0;
monsieur;
Daniel;
?;
"
";
-0;
Ma;
foil;
non;
0;
mon;
bon;
Peyrol;
";";
...;
c';
est;
precisement;
ce;
qui;
m';
a;
"
";
fait;
entrer;
ici;
.;
"
";
Justice;
divinel;
...;
M.;
Daniel;
n';
a;
pas;
dejeunel;
...;
La;
vieille;
Annou3;
"
";
5;
"
";
.n;
"

";
1;
"


";
l;
"
";
W;
"
";
I;
"
";
2;
"

";
re;
0;
"
";
A;
4;
"


";
d;
"
";
;
N;
"
";
M;
"

";
.;
"
";
0;
"
 ";
`;
h;
"
";
2;
"
";
C;
"

";
wrtu;
.;
"

";
a;
"




";
MW;
"
";
I.1;
"
";
ii;
"
";
iii;
"
";
1;
"
";
i-----;
;
"
";
----f;
.;
"
";
4;
"
";
;
"
";
";";
"

";
y;
"
";
.;
"
";
.;
H;
0;
Y-;
"
";
A;
hx--;
.;
;
"
";
hM;
"
";
r;
"
";
J;
"
";
L;
v=;
"
";
;
"
 ";
3;
;
"
";
y;
"

";
0;
.MN;
"
";
5;
"
";
f;
"
";
L---;
"

";
Ls;
"
";
e;
:;
"
";
g;
"
";
-is;
"
";
N;
"
";
e;
"
";
a;
--;
r;
;
.;
"
";
q;
"
";
----;
"
";
.;
0;
0;
-'-;
"
";
.;
"
";
.;
f;
"
";
1;
"
";
ati;
"

 ";
.;
"
";
:;
"  
";
.;
"
";
:;
;
"
";
:;
..;
"
";
=;
-e;
"

";
.;
"
";
.;
0;
"
 ";
N.;
"
";
.;
;
"

";
A.;
"
";
.;
"
";
.;
"
";
y;
`;
"
";
x;
.-;
"
 ";
iei;
"
";
M;
;
"
";
.H;
"

";
.==;
"
";
l;
--;
C;
---;
e;
"
";
L;
"
";
0;
.;
"
";
....;
0;
---==5;
:;
"
";
C;
"
";
E;
..;
"
";
--a;
"
";
e.;
C;
"
";
-0;
r-;
;
"
";
41i;
"

";
e;
;
0;
"
";
.-C--;
"
";
x;
:;
:;
:;
"

";
G;
"
";
;
"
";
-ra;
"


";
R;
-0;
L;
0;
"
";
k;
"
";
);
"
";
in;
;
"
";
it;
;
.;
"
";
.;
2;
"
";
i;
..;
-0;
aZ;
"
";
7-;
it;
"
";
g;
=;
a;
:;
"


";
yJI;
"
 
";
77;
"
";
----I3;
"

 ";
N;
"
";
WN2L.;
.----;
"
";
[;
-e;
"
";
(;
4;
"

";
1I;
:;
"
";
1;
];
"
";
I;
"
";
t;
0;
"
";
r.;
"
";
1IN1;
"
";
:;
..;
I;
"
";
r;
"
";
1;
"
";
I.;
"

";
.;
"
";
r;
"
";
;
I.-;
"
";
.;
0;
"
";
.;
"
";
.;
"
 ";
:;
L.R;
"
";
.;
I;
"
 ";
Iz-;
:;
"
";
=;
F;
"
";
0;
r;
"
";
rY;
"

";
.;
"
";
-0;
"
";
L;
"
";
1:3;
"
";
l/;
"
";
le;
"
";
I1;
"
";
1II1;
"
";
i;
"
 ";
e;
"
";
.;
I;
(;
"

";
:;
:;
-r;
0;
I;
"
";
1;
"
";
0;
a;
];
"
 ";
R;
"
";
r;
";";
"

";
t;
"

";
.;
(;
"
";
.;
"
";
0;
;
"
";
Eh;
"
";
JA;
"
";
..;
/;
"
";
Il;
"

";
A--;
"
";
h;
"
";
L;
"
";
--;
:;
"
";
-=--;
f--;
"
";
g;
-0;
r;
"
";
It;
"
";
1;
"

";
s;
"
";
W;
"
";
g.;
"

";
r.;
;
F;
"
";
2;
"
";
`;
Lr;
0;
h;
"
";
..;
"

";
-s'`,,;
..;
5;
"

";
-0;
"
";
-LYI;
LE;
CAHIER;
ROUGE;
"

";
court;
a;
sa;
cuisine;
";";
Jean;
Peyrol;
se;
precipite;
a;
la;
cave;
0;
-0;
une;
fiere;
"
";
cave;
0;
au;
dire;
des;
compagnons;
.;
"
";
En;
un;
tour;
de;
main;
0;
le;
couvert;
est;
mis;
0;
la;
table;
est;
paree;
0;
le;
petit;
"
";
Chose;
n';
a;
qu';
a;
s';
asseoir;
et;
ha;
fonctionner;
...;
A;
sa;
gauche;
0;
Annou;
lui;
"
";
taille;
des;
mouillettes;
pour;
ses;
eufs;
0;
des;
eufs;
du;
matin;
0;
blancs;
0;
cre-;
"
";
meux;
0;
duvetes;
...;
A;
sa;
droite;
0;
ean;
Peyrol;
lui;
verse;
un;
vieux;
Chateau-;
"
";
Neuf-des-Papes;
0;
qui;
semble;
une;
poignee;
de;
rubis;
jetee;
au;
fond;
de;
"
";
son;
verre;
...;
Le;
petit;
Chose;
est;
tres;
heureux;
0;
il;
boit;
comme;
un;
Templier;
0;
"
";
mange;
comme;
un;
Hospitalier;
0;
et;
trouve;
encore;
moyen;
de;
raconter;
0;
"
";
entre;
deux;
coups;
de;
dent;
0;
qu';
il;
vient;
d';
entrer;
dans;
1'Universite;
0;
ce;
"
";
qui;
le;
met;
a;
meme;
de;
gagner;
honorablement;
sa;
vie;
.;
Il;
faut;
voir;
de;
"
";
quel;
air;
il;
dit;
cela;
:;
gagner;
honorablement;
sa;
viel;
-0;
La;
vieille;
Annou;
"
";
s';
en;
pame;
d';
admiration;
.;
"
";
L';
enthousiasme;
de;
ean;
Peyrol;
est;
moins;
vif;
.;
Il;
trouve;
tout;
simple;
"
";
que;
M.;
Daniel;
gagne;
sa;
vie;
0;
puisqu';
il;
est;
en;
etat;
de;
la;
gagner;
.;
A;
l';
age;
"
";
de;
M.;
Daniel;
0;
lui;
0;
Jean;
Peyrol;
0;
courait;
le;
monde;
depuis;
deja;
quatre;
"
";
ou;
cinq;
ans;
0;
et;
ne;
cotait;
plus;
un;
liard;
a;
la;
maison;
0;
au;
contraire;
...;
"
";
Bien;
entendu;
0;
le;
digne;
cabaretier;
garde;
ses;
reflexions;
pour;
lui;
"
";
seul;
.;
oser;
comparer;
Jean;
Peyrol;
a;
Daniel;
Eyssettel;
...;
Annou;
ne;
"
";
le;
souffrirait;
pas;
.;
"
";
En;
attendant;
0;
le;
petit;
Chose;
va;
son;
train;
.;
Il;
parle;
0;
il;
boit;
0;
il;
mange;
0;
"
";
il;
s';
anime;
";";
ses;
yeux;
brillent;
0;
sa;
joue;
s';
allume;
.;
Holhl;
mattre;
Peyrol;
0;
"
";
qu';
on;
aille;
chercher;
des;
verresl;
le;
petit;
Chose;
va;
trinquer;
...;
Jean;
Peyrol;
"
";
apporte;
les;
verres;
et;
on;
trinque;
...;
d';
abord;
h;
Mme;
Eyssette;
0;
ensuite;
a;
"
";
M.;
Eyssette;
0;
puis;
a;
Jacques;
0;
a;
Daniel;
0;
a;
la;
vieille;
Annou;
0;
au;
mari;
"
";
d';
Annou;
0;
h;
1'Universite;
...;
a;
quoi;
encore;
?;
;
...;
"
";
Deux;
heures;
se;
passent;
ainsi;
en;
libations;
et;
en;
bavardages;
.;
On;
"
";
cause;
du;
passe;
couleur;
de;
deuil;
0;
de;
l';
avenir;
couleur;
de;
rose;
.;
On;
se;
"
";
rappelle;
la;
fabrique;
0;
Lyon;
0;
la;
rue;
Lanterne;
0;
ce;
pauvre;
abbe;
qu';
on;
"
";
aimait;
tant;
...;
"
";
Tout;
ha;
coup;
le;
petit;
Chose;
se;
leve;
pour;
partir;
..;
"
";
-0;
Dejh;
0;
dit;
tristement;
la;
vieille;
Annou;
.;
"
";
Le;
petit;
Chose;
s';
excuse;
";";
il;
a;
quelqu';
un;
de;
la;
ville;
a;
voir;
avant;
"
";
de;
s';
en;
aller;
0;
une;
visite;
tres;
importante;
...;
Quel;
dommagel;
on;
etait;
si;
"
";
bien;
l;
...;
On;
avait;
tant;
de;
choses;
a;
se;
raconter;
encorel;
...;
Enfin;
0;
puisqu';
il;
"
";
le;
faut;
0;
puisque;
M.;
Daniel;
a;
quelqu';
un;
de;
la;
ville;
a;
voir;
0;
ses;
amis;
du;
"
";
Tour;
de;
France;
ne;
veulent;
pas;
le;
retenir;
plus;
longtemps;
...;
a;
Bon;
voyage;
0;
"
";
monsieur;
Daniell;
Dieu;
vous;
conduise;
0;
notre;
cher;
maitre;
l;
n;
Et;
jusqu';
au34;
"
";
LE;
PETIT;
CHOSE;
"
";
milieu;
de;
la;
rue;
0;
ean;
Peyrol;
et;
sa;
femme;
l';
accompagnent;
de;
leurs;
"
";
benedictions;
.;
"
";
Or;
0;
savez;
-vous;
quel;
est;
ce;
quelqu';
un;
de;
la;
ville;
que;
le;
Petit;
Chose;
"
";
veut;
voir;
avant;
de;
partir;
?;
"
";
C';
est;
la;
fabrique;
0;
cette;
fabrique;
qu';
il;
aimait;
tant;
et;
qu';
il;
a;
tant;
"
";
pleureel;
...;
c';
est;
le;
jardin;
0;
les;
ateliers;
0;
les;
grands;
platanes;
0;
tous;
les;
amis;
"
";
de;
son;
enfance;
0;
toutes;
ses;
joies;
du;
premier;
jour;
...;
Que;
voulez;
-vous;
"
";
Le;
ceur;
de;
l';
homme;
a;
de;
ces;
faiblesses;
";";
il;
aime;
ce;
qu';
il;
peut;
0;
meme;
"
";
du;
bois;
0;
meme;
des;
pierres;
0;
meme;
une;
fabrique;
...;
D';
ailleurs;
0;
l';
histoire;
"
";
est;
la;
pour;
vous;
dire;
que;
le;
vieux;
Robinson;
0;
de;
retour;
en;
Angleterre;
0;
"
";
reprit;
la;
mer;
0;
et;
fit;
je;
ne;
sais;
combien;
de;
mille;
lieues;
pour;
revoir;
"
";
son;
ile;
deserte;
.;
"
";
Il;
n';
est;
donc;
pas;
etonnant;
que;
0;
pour;
revoir;
la;
sienne;
0;
le;
petit;
Chose;
"
";
fasse;
quelques;
pas;
.;
"
";
Deja;
les;
grands;
platanes;
0;
dont;
la;
tete;
empanachee;
regarde;
par-;
"
";
dessus;
les;
maisons;
0;
ont;
reconnu;
leur;
ancien;
ami;
qui;
vient;
vers;
eux;
"
";
ha;
toutes;
jambes;
.;
De;
loin;
ils;
lui;
font;
signe;
et;
se;
penchant;
les;
uns;
vers;
"
";
les;
autres;
0;
comme;
pour;
se;
dire;
:;
voilh;
Daniel;
Eyssettel;
Daniel;
Eyssette;
"
";
est;
de;
retourl;
"
";
Et;
lui;
se;
depeche;
0;
se;
depeche;
";";
mais;
0;
arrive;
devant;
la;
fabrique;
0;
il;
"
";
s';
arrete;
stupefait;
.;
"
";
De;
grandes;
murailles;
grises;
sans;
un;
bout;
de;
laurier;
-0;
rose;
ou;
de;
"
";
grenadier;
qui;
depasse;
...;
Plus;
de;
fenetres;
0;
des;
lucarnes;
";";
plus;
d';
ateliers;
0;
"
";
une;
chapelle;
.;
Au;
-0;
dessus;
de;
la;
porte;
0;
une;
grosse;
croix;
de;
gres;
rouge;
"
";
avec;
un;
peu;
de;
latin;
autour.l;
...;
"
";
O;
douleurl;
la;
fabrique;
n';
est;
plus;
la;
fabrique;
";";
c';
est;
un;
couvent;
de;
"
";
Carmelites;
0;
ou;
les;
hommes;
n';
entrent;
jamais;
.;
GAGNE;
TA;
VIE;
"
";
Sarlande;
est;
une;
petite;
ville;
des;
Cevennes;
0;
batie;
au;
fond;
d';
une;
"
";
etroite;
vallee;
que;
la;
montagne;
enserre;
de;
partout;
comme;
un;
grand;
"
";
mur;
.;
Quand;
le;
soleil;
y;
donne;
c';
est;
une;
fournaise;
:;
quand;
la;
tramontane;
"
";
souffle;
0;
une;
glaciere;
..;
"
";
Le;
soir;
de;
mon;
arrivee;
0;
la;
tramontane;
faisait;
rage;
depuis;
le;
matin;
";";
"
";
et;
quoiqu';
on;
ft;
au;
printemps;
0;
le;
petit;
Chose;
0;
perche;
sur;
le;
haut;
de;
"
";
la;
diligence;
0;
sentit;
0;
en;
entrant;
dans;
la;
ville;
0;
le;
froid;
le;
saisir;
jusqu';
au;
"
";
cur;
.;
"
";
Les;
rues;
etaient;
noires;
et;
desertes;
...;
Sur;
la;
place;
d';
armes;
0;
quelque;
"
";
personnes;
attendaient;
la;
voiture;
0;
en;
se;
promenant;
de;
long;
en;
large;
"
";
devant;
le;
bureau;
mal;
eclaire;
.;
"
";
A;
peine;
descendu;
de;
mon;
imperiale;
0;
je;
me;
fis;
conduire;
au;
college;
0;
"
";
sans;
perdre;
une;
minute;
.;
;
avais;
hate;
d';
entrer;
en;
fonctions;
.;
"
";
Le;
college;
n';
etait;
pas;
loin;
de;
la;
place;
";";
apres;
m';
avoir;
fait;
traverser;
"
";
deux;
ou;
trois;
larges;
rues;
silencieuses;
0;
l';
homme;
qui;
portait;
ma;
malle;
"
";
s';
arreta;
devant;
une;
grande;
maison;
0;
ou;
tout;
semblait;
mort;
depuis;
des;
"
";
annees;
.;
"
";
-0;
C';
est;
ici;
0;
dit;
-il;
0;
en;
soulevant;
l';
enorme;
marteau;
de;
la;
porte;
...;
"
";
Le;
marteau;
retomba;
lourdement;
0;
lourdement;
...;
La;
porte;
s';
ouvrit;
"
";
d';
elle;
-0;
meme;
...;
Nous;
entrames.6;
"
";
LE;
PETIT;
CHOSE;
"
";
;
attendis;
un;
moment;
sous;
le;
porche;
0;
dans;
l';
ombre;
.;
L';
homme;
posa;
"
";
ma;
malle;
par;
terre;
0;
je;
le;
payai;
0;
et;
il;
s';
en;
alla;
bien;
vite;
...;
Derriere;
lui;
0;
"
";
l';
enorme;
porte;
se;
referma;
lourdement;
0;
lourdement;
...;
Bientot;
apres;
0;
"
";
un;
portier;
somnolent;
0;
tenant;
a;
la;
main;
une;
grosse;
lanterne;
0;
s';
approcha;
"
";
de;
moi;
.;
"
";
-0;
Vous;
etes;
sans;
doute;
un;
nouveau;
?;
me;
dit;
-il;
d';
un;
air;
endormi;
.;
"
";
Il;
me;
prenait;
pour;
un;
eleve;
...;
"
";
-0;
Je;
ne;
suis;
pas;
un;
eleve;
du;
tout;
0;
je;
viens;
ici;
comme;
maitre;
"
";
d';
etudes;
";";
conduisez;
-moi;
chez;
le;
principal;
...;
"
";
Le;
portier;
parut;
surpris;
";";
il;
souleva;
un;
peu;
sa;
casquette;
et;
m';
engagea;
"
";
ha;
entrer;
une;
minute;
dans;
sa;
loge;
.;
Pour;
le;
quart;
d';
heure;
0;
M.;
le;
principal;
"
";
etait;
a;
l';
eglise;
avec;
les;
enfants;
.;
On;
me;
menerait;
chez;
lui;
des;
que;
la;
"
";
priere;
du;
soir;
serait;
terminee;
.;
"
";
Dans;
la;
loge;
0;
on;
achevait;
de;
souper;
.;
Un;
grand;
beau;
gaillard;
a;
"
";
moustaches;
blondes;
degustait;
un;
verre;
d';
eau-de-vie;
aux;
