Token;Label;accord;
et;;;
aussi;;;
comme;;;
"
";;;
poete;;;
";";;;
du;;;
reste;;;
0;;;
pas;;;
plus;;;
haut;;;
qu';;;
une;;;
botte;;;
et;;;
sans;;;
un;;;
poil;;;
de;;;
"
";;;
barbe;;;
au;;;
menton;;;
.;;;
"
";;;
Or;;;
0;;;
un;;;
matin;;;
que;;;
ce;;;
grand;;;
philosophe;;;
de;;;
petit;;;
Chose;PER;;
se;;;
dispo-;;;
"
";;;
sait;;;
a;;;
aller;;;
en;;;
classe;;;
0;;;
M.;PER;;
Eyssette;PER;;
pere;;;
l';;;
appela;;;
dans;;;
le;;;
magasin;;;
et;;;
0;;;
"
";;;
sitot;;;
qu';;;
il;;;
le;;;
vit;;;
entrer;;;
0;;;
lui;;;
fit;;;
de;;;
sa;;;
voix;;;
brutale;;;
:;;;
"
";;;
0;;;
Daniel;PER;;
0;;;
jette;;;
tes;;;
livres;;;
0;;;
tu;;;
ne;;;
vas;;;
plus;;;
au;;;
college;;;
.;;;
"
";;;
Ayant;;;
dit;;;
cela;;;
0;;;
M.;PER;;
Eyssette;PER;;
pere;;;
se;;;
mit;;;
a;;;
marcher;;;
a;;;
grands;;;
pas;;;
"
";;;
dans;;;
le;;;
magasin;;;
0;;;
sans;;;
parler;;;
.;;;
Il;;;
paraissait;;;
tres;PER;;
emu;PER;;
0;;;
et;;;
le;;;
petit;;;
Chose;PER;;
"
";;;
aussi;;;
0;;;
je;;;
vous;;;
assure;;;
...;;;
Apres;;;
un;;;
long;;;
moment;;;
de;;;
silence;;;
0;;;
M.;PER;;
Eyssette;PER;;
"
";;;
pere;;;
reprit;;;
la;;;
parole;;;
:;;;
"
";;;
0;;;
Mon;;;
garcon;;;
0;;;
dit;;;
-il;;;
0;;;
j';;;
ai;;;
une;;;
mauvaise;;;
nouvelle;;;
a;;;
t';;;
apprendre;;;
0;;;
"
";;;
ohl;;;
bien;;;
mauvaise;;;
...;;;
nous;;;
allons;;;
etre;;;
obliges;;;
de;;;
nous;;;
separer;;;
tous;;;
0;;;
"
";;;
voici;;;
pourquoi;;;
.;;;
"
";;;
Ici;;;
0;;;
un;;;
grand;;;
sanglot;;;
0;;;
un;;;
sanglot;;;
dechirant;;;
retentit;;;
derriere;;;
la;;;
"
";;;
porte;;;
entre-baillee;;;
.;;;
"
";;;
0;;;
Jacques;PER;;
0;;;
tu;;;
es;;;
un;;;
nel;;;
cria;;;
M.;PER;;
Eyssette;PER;;
sans;;;
se;;;
retourner;;;
0;;;
puis;;;
"
";;;
il;;;
continua;;;
:;;;
"
";;;
0;;;
Quand;;;
nous;;;
sommes;;;
venus;;;
a;;;
Lyon;LOC;;
0;;;
il;;;
y;;;
a;;;
six;;;
ans;;;
0;;;
ruines;;;
par;;;
les;;;
"
";;;
revolutionnaires;;;
0;;;
j';;;
esperais;;;
0;;;
a;;;
force;;;
de;;;
travail;;;
0;;;
arriver;;;
a;;;
reconstruire;;;
"
";;;
notre;;;
fortune;;;
";";;;
mais;;;
le;;;
demon;;;
s';;;
en;;;
melel;;;
Je;;;
n';;;
ai;;;
reussi;;;
qu';;;
a;;;
nous;;;
"
";;;
enfoncer;;;
jusqu';;;
au;;;
cou;;;
dans;;;
les;;;
dettes;;;
et;;;
dans;;;
la;;;
misere;;;
...;;;
A;;;
present;;;
0;;;
"
";;;
c';;;
est;;;
fini;;;
0;;;
nous;;;
sommes;;;
embourbes;;;
...;;;
Pour;;;
sortir;;;
de;;;
la;;;
0;;;
nous;;;
n';;;
avonsLE;;;
CAHIER;;;
ROUGE;;;
"
";;;
2;;;
g;;;
"
";;;
qu';;;
un;;;
parti;;;
a;;;
prendre;;;
0;;;
maintenant;;;
que;;;
vous;;;
voila;;;
grandis;;;
:;;;
vendre;;;
le;;;
"
";;;
peu;;;
qui;;;
nous;;;
reste;;;
et;;;
chercher;;;
notre;;;
vie;;;
chacun;;;
de;;;
notre;;;
cOte;MISC;;
.;;;
"
";;;
Un;;;
nouveau;;;
sanglot;;;
de;;;
l';;;
invisible;;;
acques;;;
vint;;;
interrompre;;;
"
";;;
M.;PER;;
Eyssette;PER;;
";";;;
mais;;;
il;;;
etait;;;
tellement;;;
emu;PER;;
lui;PER;;
0;;;
meme;;;
qu';;;
il;;;
ne;;;
se;;;
facha;;;
"
";;;
pas;;;
.;;;
Il;;;
fit;;;
seulement;;;
signe;;;
a;;;
Daniel;PER;;
de;;;
fermer;;;
la;;;
porte;;;
0;;;
et;;;
0;;;
la;;;
porte;;;
"
";;;
fermee;;;
0;;;
il;;;
reprit;;;
:;;;
"
";;;
--;;;
Voici;;;
donc;;;
ce;;;
que;;;
j';;;
ai;;;
decide;;;
:;;;
jusqu';;;
a;;;
nouvel;;;
ordre;;;
0;;;
ta;;;
mere;;;
"
";;;
va;;;
s';;;
en;;;
aller;;;
vivre;;;
dans;;;
le;;;
Midi;LOC;;
0;;;
chez;;;
son;;;
frere;;;
0;;;
l';;;
oncle;;;
Baptiste;PER;;
.;;;
Jacques;PER;;
"
";;;
restera;;;
a;;;
Lyon;LOC;;
";";;;
il;;;
a;;;
trouve;;;
un;;;
petit;;;
emploi;;;
au;;;
mont-de-piete;;;
.;;;
Moi;;;
0;;;
"
";;;
j';;;
entre;;;
comme;;;
commis;;;
0;;;
voyageur;;;
a;;;
la;;;
Societe;ORG;;
vinicole;ORG;;
...;;;
Quant;;;
a;;;
toi;;;
0;;;
"
";;;
mon;;;
pauvre;;;
enfant;;;
0;;;
il;;;
va;;;
falloir;;;
aussi;;;
que;;;
tu;;;
gagnes;;;
ta;;;
vie;;;
...;;;
Justement;;;
0;;;
"
";;;
je;;;
regois;;;
une;;;
lettre;;;
du;;;
recteur;;;
qui;;;
te;;;
propose;;;
une;;;
place;;;
de;;;
maitre;;;
"
";;;
d';;;
etude;;;
";";;;
tiens;;;
0;;;
lis;;;
"
";;;
Le;MISC;;
petit;MISC;;
Chose;MISC;;
prit;;;
la;;;
lettre;;;
.;;;
"
";;;
0;;;
D';;;
apres;;;
ce;;;
que;;;
je;;;
vois;;;
0;;;
dit;;;
-il;;;
tout;;;
en;;;
lisant;;;
0;;;
je;;;
n';;;
ai;;;
pas;;;
de;;;
temps;;;
"
";;;
a;;;
perdre;;;
.;;;
"
";;;
--;;;
C';;;
est;;;
bien;;;
0;;;
je;;;
partirai;;;
...;;;
"
";;;
La;;;
0;;;
dessus;;;
le;;;
petit;;;
Chose;PER;;
replia;;;
la;;;
lettre;;;
et;;;
la;;;
rendit;;;
a;;;
son;;;
pere;;;
d';;;
unc;;;
"
";;;
main;;;
qui;;;
ne;;;
tremblait;;;
pas;;;
.;;;
C';;;
etait;;;
un;;;
grand;;;
philosophe;;;
0;;;
comme;;;
vous;;;
"
";;;
voyez;;;
.;;;
"
";;;
A;;;
ce;;;
moment;;;
0;;;
Mme;PER;;
Eyssette;PER;;
entra;;;
dans;;;
le;;;
magasin;;;
0;;;
puis;;;
Jacques;PER;;
"
";;;
timidement;;;
derriere;;;
elle;;;
...;;;
Tous;;;
deux;;;
s';;;
approcherent;;;
du;;;
petit;;;
Chose;PER;;
"
";;;
et;;;
l';;;
embrasserent;;;
en;;;
silence;;;
";";;;
depuis;;;
la;;;
veille;;;
ils;;;
etaient;;;
au;;;
courant;;;
de;;;
"
";;;
ce;;;
qui;;;
se;;;
passait;;;
.;;;
"
";;;
0;;;
Qu';;;
on;;;
s';;;
occupe;;;
de;;;
sa;;;
mallel;;;
fit;;;
brusquement;;;
M.;PER;;
Eyssette;PER;;
0;;;
il;;;
"
";;;
part;;;
demain;;;
matin;;;
par;;;
le;;;
bateau;;;
.;;;
"
";;;
Mme;PER;;
Eyssette;PER;;
poussa;;;
un;;;
gros;;;
soupir;;;
0;;;
Jacques;PER;;
esquissa;;;
un;;;
sanglot;;;
0;;;
"
";;;
et;;;
tout;;;
fut;;;
dit;;;
.;;;
"
";;;
On;;;
commencait;;;
a;;;
etre;;;
fait;;;
au;;;
malheur;;;
dans;;;
cette;;;
maison;;;
0;;;
la;;;
"
";;;
Le;;;
lendemain;;;
de;;;
cette;;;
journee;;;
memorable;;;
0;;;
toute;;;
la;;;
famille;;;
accom-;;;
"
";;;
pagna;LOC;;
le;;;
petit;;;
Chose;PER;;
au;;;
bateau;;;
.;;;
Par;;;
une;;;
coincidence;;;
singuliere;;;
0;;;
c';;;
etait;;;
"
";;;
le;;;
meme;;;
bateau;;;
qui;;;
avait;;;
amene;;;
les;;;
Eyssette;LOC;;
a;;;
Lyon;LOC;;
six;;;
ans;;;
auparavant;;;
.;;;
"
";;;
Capitaine;MISC;;
Genies;MISC;;
0;;;
maitre;;;
0;;;
coq;;;
Montelimartl;;;
Naturellement;;;
on;;;
se;;;
"
";;;
rappela;;;
le;;;
parapluie;;;
d';;;
Annou;LOC;;
0;;;
le;;;
perroquet;;;
de;;;
Robinson;PER;;
0;;;
et;;;
quelques;;;
"
";;;
autres;;;
episodes;;;
du;;;
debarquement;;;
...;;;
Ces;;;
souvenirs;;;
egayerent;;;
un;;;
peu;;;
"
";;;
ce;;;
triste;;;
depart;;;
0;;;
et;;;
amenerent;;;
l';;;
ombre;;;
d';;;
un;;;
sourire;;;
sur;;;
les;;;
levres;;;
de;;;
"
";;;
Me;PER;;
Eyssette;PER;;
.;;;
"
";;;
Tout;;;
a;;;
coup;;;
la;;;
cloche;;;
sonna;;;
.;;;
Il;;;
fallait;;;
partir.3e;;;
"
";;;
LE;PER;;
PETIT;PER;;
CHOSE;;;
"
";;;
Le;;;
petit;;;
Chose;PER;;
0;;;
s';;;
arrachant;;;
aux;;;
etreintes;;;
de;;;
ses;;;
amis;;;
0;;;
franchit;;;
"
";;;
bravement;;;
la;;;
passerelle;;;
...;;;
"
";;;
0;;;
Sois;;;
serieux;;;
0;;;
lui;;;
cria;;;
son;;;
pere;;;
.;;;
"
";;;
0;;;
Ne;;;
sois;;;
pas;;;
malade;;;
0;;;
dit;;;
Mme;PER;;
Eyssette;PER;;
.;;;
"
";;;
Iacques;LOC;;
voulait;;;
parler;;;
0;;;
mais;;;
il;;;
ne;;;
put;;;
pas;;;
";";;;
il;;;
pleurait;;;
trop;;;
.;;;
"
";;;
Le;;;
petit;;;
Chose;PER;;
ne;;;
pleurait;;;
pas;;;
0;;;
lui;;;
.;;;
Comme;;;
j';;;
ai;;;
eu;;;
l';;;
honneur;;;
de;;;
"
";;;
vous;;;
le;;;
dire;;;
0;;;
c';;;
etait;;;
un;;;
grand;;;
philosophe;;;
0;;;
et;;;
positivement;;;
les;;;
philo-;;;
"
";;;
sophes;;;
ne;;;
doivent;;;
pas;;;
s';;;
attendrir;;;
...;;;
"
";;;
Et;;;
pourtant;;;
0;;;
Dieu;MISC;;
sait;;;
s';;;
il;;;
les;;;
aimait;;;
0;;;
ces;;;
cheres;;;
creatures;;;
qu';;;
il;;;
"
";;;
laissait;;;
derriere;;;
lui;;;
0;;;
dans;;;
le;;;
brouillard;;;
.;;;
Dieu;;;
sait;;;
s';;;
il;;;
aurait;;;
donne;;;
volon-;;;
"
";;;
tiers;;;
pour;;;
elles;;;
tout;;;
son;;;
sang;;;
et;;;
toute;;;
sa;;;
chair;;;
...;;;
IMais;MISC;;
que;;;
voulez;;;
-vous;;;
"
";;;
La;;;
joie;;;
de;;;
quitter;;;
Lyon;LOC;;
0;;;
le;;;
mouvement;;;
du;;;
bateau;;;
0;;;
l';;;
ivresse;;;
du;;;
voyage;;;
0;;;
"
";;;
l';;;
orgueil;;;
de;;;
se;;;
sentir;;;
homme;;;
0;;;
0;;;
homme;;;
libre;;;
0;;;
homme;;;
fait;;;
0;;;
voyageant;;;
"
";;;
seul;;;
et;;;
gagnant;;;
sa;;;
vie;;;
0;;;
0;;;
tout;;;
cela;;;
grisait;;;
le;;;
petit;;;
Chose;PER;;
et;;;
l';;;
empechait;;;
"
";;;
de;;;
songer;;;
0;;;
comme;;;
il;;;
aurait;;;
d;;;
0;;;
aux;;;
trois;;;
etres;;;
cheris;;;
qui;;;
sanglotaient;;;
"
";;;
la;LOC;;
0;LOC;;
bas;LOC;;
0;;;
debout;;;
sur;;;
les;;;
quais;;;
du;;;
Rhone;LOC;;
...;;;
"
";;;
Ahl;ORG;;
ce;;;
n';;;
etaient;;;
pas;;;
des;;;
philosophes;;;
0;;;
ces;;;
trois-la;;;
.;;;
D';;;
un;;;
aeil;PER;;
anxicux;PER;;
"
";;;
et;;;
plein;;;
de;;;
tendresse;;;
0;;;
ils;;;
suivaient;;;
la;;;
marche;;;
asthmatique;;;
du;;;
navire;;;
0;;;
"
";;;
et;;;
son;;;
panache;;;
de;;;
fumee;;;
n';;;
etait;;;
pas;;;
plus;;;
gros;;;
qu';;;
une;;;
hirondelle;;;
a;;;
"
";;;
l';;;
horizon;;;
0;;;
qu';;;
ils;;;
criaient;;;
encore;;;
:;;;
aAdieul;MISC;;
adieuln;;;
en;;;
faisant;;;
des;;;
signes;;;
.;;;
"
";;;
Pendant;;;
ce;;;
temps;;;
0;;;
monsieur;;;
le;;;
philosophe;;;
se;;;
promenait;;;
de;;;
long;;;
"
";;;
en;;;
large;;;
sur;;;
le;;;
pont;;;
0;;;
les;;;
mains;;;
dans;;;
les;;;
poches;;;
0;;;
la;;;
tete;;;
au;;;
vent;;;
.;;;
Il;;;
sifflotait;;;
0;;;
"
";;;
crachait;;;
tres;;;
loin;;;
0;;;
regardait;;;
les;;;
dames;;;
sous;;;
le;;;
nez;;;
0;;;
inspectait;;;
la;;;
maneuvre;;;
"
";;;
marchait;;;
des;;;
epaules;;;
comme;;;
un;;;
gros;;;
homme;;;
0;;;
se;;;
trouvait;;;
charmant;;;
.;;;
"
";;;
Avant;;;
qu';;;
on;;;
ft;;;
seulement;;;
a;;;
Vienne;LOC;;
0;;;
il;;;
avait;;;
appris;;;
au;;;
maitre;;;
0;;;
coq;;;
"
";;;
Montelimart;PER;;
et;;;
a;;;
ses;;;
deux;;;
marmitons;;;
qu';;;
il;;;
etait;;;
dans;;;
1'Universite;;;
et;;;
"
";;;
qu';;;
il;;;
y;;;
gagnait;;;
fort;;;
bien;;;
sa;;;
vie;;;
...;;;
Ces;;;
messieurs;;;
lui;;;
en;;;
firent;;;
compli-;;;
"
";;;
ment;;;
.;;;
Cela;;;
le;;;
rendit;;;
tres;;;
fier;;;
.;;;
"
";;;
Une;;;
fois;;;
0;;;
en;;;
se;;;
promenant;;;
d';;;
un;;;
bout;;;
a;;;
l';;;
autre;;;
du;;;
navire;;;
0;;;
notre;;;
"
";;;
philosophe;;;
heurta;;;
du;;;
pied;;;
0;;;
a;;;
l';;;
avant;;;
0;;;
pres;;;
de;;;
la;;;
grosse;;;
cloche;;;
0;;;
un;;;
paquet;;;
"
";;;
de;;;
cordes;;;
sur;;;
lequel;;;
0;;;
a;;;
six;;;
ans;;;
de;;;
la;;;
0;;;
Robinson;MISC;;
Crusoe;MISC;;
0;;;
etait;;;
venu;;;
"
";;;
s';;;
asseoir;;;
pendant;;;
de;;;
longues;;;
heures;;;
0;;;
son;;;
perroquet;;;
entre;;;
les;;;
jambes;;;
.;;;
"
";;;
Ce;;;
paquet;;;
de;;;
cordes;;;
le;;;
fit;;;
beaucoup;;;
rire;;;
et;;;
un;;;
peu;;;
rougir;;;
.;;;
"
";;;
0;;;
Que;;;
je;;;
devais;;;
etre;;;
ridicule;;;
0;;;
pensait;;;
-il;;;
0;;;
de;;;
trainer;;;
partout;;;
avec;;;
"
";;;
moi;;;
cette;;;
grande;;;
cage;;;
peinte;;;
en;;;
bleu;;;
et;;;
ce;;;
perroquet;;;
fantastique;;;
...;;;
"
";;;
Pauvre;PER;;
philosophel;PER;;
il;;;
ne;;;
se;;;
doutait;;;
pas;;;
que;;;
pendant;;;
toute;;;
sa;;;
vie;;;
"
";;;
il;;;
etait;;;
condamne;;;
a;;;
trafner;;;
ainsi;;;
ridiculement;;;
cette;;;
cage;;;
peinte;;;
en;;;
bleu;;;
0;;;
"
";;;
couleur;;;
d';;;
illusion;;;
0;;;
et;;;
ce;;;
perroquert;;;
vert;;;
0;;;
couleur;;;
d';;;
esperance;;;
.;;;
LE;;;
CAHIER;;;
ROUGE;PER;;
"
";PER;;
Helasl;;;
a;;;
l';;;
heure;;;
ou;;;
j';;;
ecris;;;
ces;;;
lignes;;;
0;;;
le;;;
malheureux;;;
gargon;PER;;
la;PER;;
porte;PER;;
"
";;;
encore;;;
0;;;
sa;;;
grande;;;
cage;;;
peinte;;;
en;;;
bleu;;;
.;;;
Seulement;;;
de;;;
jour;;;
en;;;
jour;;;
"
";;;
l';;;
azur;;;
des;;;
barreaux;;;
s';;;
ecaille;;;
et;;;
le;;;
perroquet;;;
vert;;;
est;;;
aux;;;
trois;;;
quarts;;;
"
";;;
deplume;LOC;;
0;;;
pecairel;;;
"
";;;
Le;;;
premier;;;
soin;;;
du;;;
petit;;;
Chose;PER;;
0;;;
en;;;
arrivant;;;
dans;;;
sa;;;
ville;;;
natale;;;
0;;;
"
";;;
fut;;;
de;;;
se;;;
rendre;;;
a;;;
l';;;
Academie;ORG;;
0;;;
oi;;;
logeait;;;
M.;;;
le;;;
recteur;;;
.;;;
"
";;;
Ce;;;
recteur;;;
0;;;
ami;;;
d';;;
Eyssette;LOC;;
pere;;;
0;;;
etait;;;
un;;;
grand;;;
beau;;;
vieux;;;
0;;;
alerte;;;
"
";;;
et;;;
sec;;;
0;;;
n';;;
ayant;;;
rien;;;
qui;;;
sentit;;;
le;;;
pedant;;;
0;;;
ni;;;
quoi;;;
que;;;
ce;;;
ft;;;
de;;;
semblable;;;
.;;;
"
";;;
Il;;;
accueillit;;;
Eyssette;LOC;;
fils;;;
avec;;;
une;;;
grande;;;
bienveillance;;;
.;;;
Toutefois;;;
0;;;
"
";;;
quand;;;
on;;;
l';;;
introduisit;;;
dans;;;
son;;;
cabinet;;;
0;;;
le;;;
brave;;;
homme;;;
ne;;;
put;;;
retenir;;;
"
";;;
un;;;
geste;;;
de;;;
surprise;;;
.;;;
"
";;;
0;;;
Ahl;;;
mon;;;
Dieul;PER;;
dit;;;
-il;;;
0;;;
comme;;;
il;;;
est;;;
petitl;;;
"
";;;
Le;;;
fait;;;
est;;;
que;;;
le;;;
petit;;;
Chose;PER;;
etait;;;
ridiculement;;;
petit;;;
";";;;
et;;;
puis;;;
l';;;
air;;;
"
";;;
si;;;
jeune;;;
0;;;
si;;;
mauviette;;;
.;;;
"
";;;
L';;;
exclamation;;;
du;;;
recteur;;;
lui;;;
porta;;;
un;;;
coup;;;
terrible;;;
.;;;
aIls;MISC;;
ne;;;
vont;;;
"
";;;
pas;;;
vouloir;;;
de;;;
moi;;;
0;;;
pensa;;;
-t;;;
-il;;;
.;;;
Et;;;
tout;;;
son;;;
corps;;;
se;;;
mit;;;
a;;;
trembler;;;
.;;;
"
";;;
Heureusement;;;
0;;;
comme;;;
s';;;
il;;;
et;;;
devine;;;
ce;;;
qui;;;
se;;;
passait;;;
dans;;;
cette;;;
"
";;;
pauvre;;;
petite;;;
cervelle;;;
0;;;
le;;;
recteur;;;
reprit;;;
:;;;
"
";;;
0;;;
Approche;;;
ici;;;
0;;;
mon;;;
garcon;;;
...;;;
Nous;;;
allons;;;
donc;;;
faire;;;
de;;;
toi;;;
un;;;
"
";;;
maitre;;;
d';;;
etude;;;
...;;;
A;;;
ton;;;
age;;;
0;;;
avec;;;
cette;;;
taille;;;
et;;;
cette;;;
figure;;;
0;;;
la;;;
0;;;
le;;;
metier;;;
"
";;;
te;;;
sera;;;
plus;;;
dur;;;
qu';;;
a;;;
un;;;
autre;;;
...;;;
Mais;;;
enfin;;;
0;;;
puisqu';;;
il;;;
le;;;
faut;;;
0;;;
puisqu';;;
il;;;
"
";;;
faut;;;
que;;;
tu;;;
gagnes;;;
ta;;;
vie;;;
0;;;
mon;;;
cher;;;
enfant;;;
0;;;
nous;;;
arrangerons;;;
cela;;;
"
";;;
pour;;;
le;;;
mieux;;;
...;;;
En;;;
commencant;;;
0;;;
on;;;
ne;;;
te;;;
mettra;;;
pas;;;
dans;;;
une;;;
grande;;;
"
";;;
baraque;;;
...;;;
Je;;;
vais;;;
t';;;
envoyer;;;
dans;;;
un;;;
college;;;
communal;;;
0;;;
a;;;
quelques;;;
"
";;;
lieues;;;
d';;;
ici;;;
0;;;
a;;;
Sarlande;MISC;;
0;;;
en;;;
pleine;;;
montagne;;;
...;;;
Lha;MISC;;
tu;;;
feras;;;
ton;;;
appren-;;;
"
";;;
tissage;;;
d';;;
homme;;;
0;;;
tu;;;
t';;;
aguerriras;;;
au;;;
metier;;;
0;;;
tu;;;
grandiras;ORG;;
0;;;
tu;;;
prendras;;;
"
";;;
de;;;
la;;;
barbe;;;
";";;;
puis;;;
0;;;
le;;;
poil;;;
venu;;;
0;;;
nous;;;
verronsl;;;
"
";;;
Tout;;;
en;;;
parlant;;;
0;;;
M.;PER;;
le;;;
recteur;;;
ecrivait;;;
au;;;
principal;;;
du;;;
college;;;
de;;;
"
";;;
Sarlande;PER;;
pour;;;
lui;;;
presenter;;;
son;;;
protege;;;
.;;;
La;;;
lettre;;;
terminee;;;
0;;;
il;;;
la;;;
remit;;;
"
";;;
au;;;
petit;;;
Chose;PER;;
et;;;
l';;;
engagea;;;
a;;;
partir;;;
le;;;
jour;;;
meme;;;
";";;;
la;;;
0;;;
dessus;;;
0;;;
il;;;
lui;;;
"
";;;
donna;;;
quelques;;;
sages;;;
conseils;;;
et;;;
le;;;
congedia;;;
d';;;
une;;;
tape;;;
amicale;;;
sur;;;
la;;;
"
";;;
joue;;;
en;;;
lui;;;
promettant;;;
de;;;
ne;;;
pas;;;
le;;;
perdre;;;
de;;;
vue;;;
.;;;
"
";;;
Voila;MISC;;
mon;MISC;;
petit;MISC;;
Chose;MISC;;
bien;;;
content;;;
.;;;
Quatre;;;
a;;;
quatre;;;
il;;;
degringole;;;
"
";;;
l';;;
escalier;;;
seculaire;;;
de;;;
l1'Academie;;;
et;;;
s';;;
en;;;
va;;;
d';;;
une;;;
haleine;;;
retenir;;;
sa;;;
"
";;;
place;;;
pour;;;
Sarlande;PER;;
.;;;
"
";;;
La;;;
diligence;;;
ne;;;
part;;;
que;;;
dans;;;
l';;;
apres-midi;;;
";";;;
encore;;;
quatre;;;
heures;;;
"
";;;
a;;;
attendrel;;;
Le;MISC;;
petit;MISC;;
Chose;MISC;;
en;;;
profite;;;
pour;;;
aller;;;
parader;;;
au;;;
soleil;;;
sur32;;;
"
";;;
LE;MISC;;
PETIT;MISC;;
CHOSE;MISC;;
"
";;;
l';;;
esplanade;;;
et;;;
se;;;
montrer;;;
a;;;
ses;;;
compatriotes;;;
.;;;
Ce;;;
premier;;;
devoir;;;
"
";;;
accompli;;;
0;;;
il;;;
songe;;;
a;;;
prendre;;;
quelque;;;
nourriture;;;
et;;;
se;;;
met;;;
en;;;
quete;;;
"
";;;
d';;;
un;;;
cabaret;;;
a;;;
portee;;;
de;;;
son;;;
escarcelle;;;
...;;;
Juste;;;
en;;;
face;;;
les;;;
casernes;;;
0;;;
il;;;
"
";;;
en;;;
avise;;;
un;;;
propret;;;
0;;;
reluisant;;;
0;;;
avec;;;
une;;;
belle;;;
enseigne;;;
toute;;;
neuve;;;
:;;;
"
";;;
AU;;;
C0MP1GNON;MISC;;
DU;MISC;;
TOUR;MISC;;
DE;;;
FRANCE;;;
"
";;;
0;;;
Voici;;;
mon;;;
affaire;;;
0;;;
se;;;
dit;;;
-il;;;
.;;;
Et;;;
apres;;;
quelques;;;
minutes;;;
d';;;
hesi-;;;
"
";;;
tation;;;
0;;;
0;;;
c';;;
est;;;
la;;;
premiere;;;
fois;;;
que;;;
le;;;
petit;;;
Chose;PER;;
entre;;;
dans;;;
un;;;
restau-;;;
"
";;;
rant;;;
0;;;
0;;;
il;;;
pousse;;;
resolument;;;
la;;;
porte;;;
.;;;
"
";;;
Le;;;
cabaret;;;
est;;;
desert;;;
pour;;;
le;;;
moment;;;
.;;;
Des;;;
murs;;;
peints;;;
a;;;
la;;;
chaux;;;
...;;;
0;;;
"
";;;
quelques;;;
tables;;;
de;;;
chene;;;
...;;;
Dans;;;
un;;;
coin;;;
de;;;
longues;;;
cannes;;;
de;;;
compa-;;;
"
";;;
gnons;;;
0;;;
a;;;
bouts;;;
de;;;
cuivre;;;
0;;;
ornees;;;
de;;;
rubans;;;
multicolores;;;
...;;;
Au;;;
comptoir;;;
"
";;;
un;;;
gros;;;
homme;;;
qui;;;
ronfle;;;
0;;;
le;;;
nez;;;
dans;;;
un;;;
journal;;;
.;;;
"
";;;
0;;;
Holhal;PER;;
quelqu';;;
unl;PER;;
dit;;;
le;;;
petit;;;
Chose;PER;;
0;;;
en;;;
frappant;;;
de;;;
son;;;
poing;;;
"
";;;
ferme;;;
sur;;;
les;;;
tables;;;
0;;;
comme;;;
un;;;
vieux;;;
coureur;;;
de;;;
tavernes;;;
.;;;
"
";;;
Le;;;
gros;;;
homme;;;
du;;;
comptoir;;;
ne;;;
se;;;
reveille;;;
pas;;;
pour;;;
si;;;
peu;;;
";";;;
mais;;;
"
";;;
du;;;
fond;;;
de;;;
l';;;
arriere;;;
0;;;
boutique;;;
0;;;
la;;;
cabaretiere;;;
accourt;;;
...;;;
En;;;
voyant;;;
le;;;
"
";;;
nouveau;;;
client;;;
que;;;
l';;;
ange;PER;;
Hasard;PER;;
lui;;;
amene;;;
0;;;
elle;;;
pousse;;;
un;;;
grand;;;
cri;;;
:;;;
"
";;;
0;;;
Misericordel;;;
monsieur;;;
Daniell;PER;;
"
";PER;;
0;;;
Annoul;LOC;;
ma;;;
vieille;;;
Annoul;LOC;;
repond;;;
le;;;
petit;;;
Chose;;;
.;;;
Et;;;
les;;;
voilh;;;
"
";;;
dans;;;
les;;;
bras;;;
l';;;
un;;;
de;;;
l';;;
autre;;;
.;;;
"
";;;
Ehl;LOC;;
mon;;;
Dieu;MISC;;
0;;;
oui;;;
0;;;
c';;;
est;;;
Annou;LOC;;
0;;;
la;;;
vieille;;;
Annou;LOC;;
0;;;
anciennement;;;
"
";;;
bonne;;;
des;;;
Eyssette;LOC;;
0;;;
maintenant;;;
cabaretiere;;;
0;;;
mere;;;
des;;;
compagnons;;;
0;;;
"
";;;
mariee;PER;;
ha;PER;;
ean;PER;;
Peyrol;PER;;
0;;;
ce;;;
gros;;;
qui;;;
ronfle;;;
l;;;
0;;;
bas;;;
dans;;;
le;;;
comptoir;;;
...;;;
Et;;;
"
";;;
comme;;;
elle;;;
est;;;
heureuse;;;
0;;;
si;;;
vous;;;
saviez;;;
0;;;
cette;;;
brave;;;
Annou;PER;;
0;;;
comme;;;
"
";;;
elle;;;
est;;;
heureuse;;;
de;;;
revoir;;;
M.;PER;;
Daniell;PER;;
Comme;;;
elle;;;
l';;;
embrassel;;;
comme;;;
"
";;;
elle;;;
1'etreintl;;;
comme;;;
elle;;;
1'etouffel;;;
"
";;;
Au;;;
milieu;;;
de;;;
ces;;;
effusions;;;
0;;;
l';;;
homme;;;
du;;;
comptoir;;;
se;;;
reveille;;;
.;;;
"
";;;
Il;;;
s';;;
etonne;;;
d';;;
abord;;;
un;;;
peu;;;
du;;;
chaleureux;;;
accueil;;;
que;;;
sa;;;
femme;;;
"
";;;
est;;;
en;;;
train;;;
de;;;
faire;;;
a;;;
ce;;;
jeune;;;
inconnu;;;
";";;;
mais;;;
quand;;;
on;;;
lui;;;
apprend;;;
"
";;;
que;;;
ce;;;
jeune;;;
inconnu;;;
est;;;
M.;PER;;
Daniel;PER;;
Eyssette;PER;;
en;;;
personne;;;
0;;;
Jean;PER;;
Peyrol;PER;;
"
";;;
devient;;;
rouge;;;
de;;;
plaisir;;;
et;;;
s';;;
empresse;;;
autour;;;
de;;;
son;;;
illustre;;;
visiteur;;;
.;;;
