Token;Label_LM;Label_CF;Label_MB
la;;;
recreation;;;
,;;;
je;;;
fus;;;
tres;;;
etonne;;;
de;;;
voir;;;
Boucoyran;LOC;LOC;LOC
rire;;;
et;;;
jouer;;;
"
";;;
avec;;;
les;;;
autres;;;
.;;;
Cela;;;
me;;;
rassura;;;
un;;;
peu;;;
";";;;
et;;;
,;;;
comme;;;
toute;;;
la;;;
journe;;;
se;;;
"
";;;
passa;;;
sans;;;
encombres;;;
,;;;
je;;;
m';;;
imaginai;;;
que;;;
mon;;;
drole;MISC;MISC;MISC
se;;;
tiendrait;;;
coi;PER;PER;PER
"
";;;
et;;;
que;;;
j';;;
en;;;
serais;;;
quitte;;;
pour;;;
la;;;
peur;;;
.;;;
"
";;;
Par;;;
malheur;;;
,;;;
le;;;
jeudi;;;
suivant;;;
etait;;;
jour;;;
de;;;
sortie;;;
.;;;
Le;;;
soir;;;
,;;;
MI;LOC;LOC;LOC
.;;;
le;;;
"
";;;
marquis;;;
ne;;;
rentra;;;
pas;;;
au;;;
dortoir;;;
.;;;
';;;
eus;;;
comme;;;
un;;;
pressentiment;;;
et;;;
je;;;
"
";;;
ne;;;
dormis;;;
pas;;;
de;;;
toute;;;
la;;;
nuit;;;
.;;;
"
";;;
Le;;;
lendemain;;;
,;;;
a;;;
la;;;
premiere;;;
etude;;;
,;;;
les;;;
eleves;;;
chuchotaient;;;
en;;;
"
";;;
regardant;;;
la;;;
place;;;
de;;;
Boucoyran;LOC;LOC;LOC
qui;;;
restait;;;
vide;;;
.;;;
Sans;;;
en;;;
avoir;;;
l';;;
air;;;
,;;;
"
";;;
je;;;
mourais;;;
d';;;
inquietude;;;
.;;;
"
";;;
Vers;;;
les;;;
sept;;;
heures;;;
,;;;
la;;;
porte;;;
s';;;
ouvrit;;;
d';;;
un;;;
coup;;;
sec;;;
.;;;
Tous;;;
les;;;
"
";;;
enfants;;;
se;;;
leverent;;;
.;;;
"
";;;
';;;
etais;;;
perdu;;;
..;;;
"
";;;
Le;;;
principal;;;
entra;;;
le;;;
premier;;;
,;;;
puis;;;
M.;PER;PER;PER
Viot;PER;PER;PER
derriere;;;
lui;;;
,;;;
puis;;;
enfin;;;
"
";;;
un;;;
grand;;;
vieux;;;
boutonne;;;
jusqu';;;
au;;;
menton;;;
dans;;;
une;;;
longue;;;
redingote;;;
,;;;
"
";;;
et;;;
cravate;;;
d';;;
un;;;
col;;;
de;;;
crin;;;
haut;;;
de;;;
quatre;;;
doigts;;;
.;;;
Celui;;;
-;;;
la;;;
,;;;
je;;;
ne;;;
le;;;
"
";;;
connaissais;;;
pas;;;
,;;;
mais;;;
je;;;
compris;;;
tout;;;
de;;;
suite;;;
que;;;
c';;;
etait;;;
M.;MISC;MISC;MISC
de;;;
Bou-;MISC;MISC;MISC
"
";;;
coyran;PER;PER;PER
le;;;
pere;;;
.;;;
Il;;;
tortillait;;;
sa;;;
longue;;;
moustache;;;
et;;;
bougonnait;;;
entre;;;
ses;;;
"
";;;
dents;;;
.;;;
"
";;;
e;;;
n';;;
eus;;;
pas;;;
meme;;;
le;;;
courage;;;
de;;;
descendre;;;
de;;;
ma;;;
chaire;;;
pour;;;
faire;;;
"
";;;
honneur;;;
a;;;
ces;;;
messieurs;;;
";";;;
eux;;;
non;;;
plus;;;
,;;;
en;;;
entrant;;;
,;;;
ne;;;
me;;;
saluerentIIIRIAR;LOC;LOC;LOC
 ;;;
a;;;
-;;;
a--;;;
"
";;;
----------;;;
];;;
"

";;;
L.LLL;PER;PER;PER
"
";PER;PER;PER
-;PER;PER;PER
"
";PER;PER;PER
W;PER;PER;PER
"
";;;
1P;;;
"
";;;
I;PER;PER;PER
"
";PER;PER;PER
Rb;;;
"
";;;
=;;;
=;;;
"
";;;
-;;;
"
";;;
-;;;
"
";;;
-;;;
];;;
"
";;;
il;;;
.;;;
"
";;;
W;PER;PER;PER
"
";PER;PER;PER
1II;PER;PER;PER
/;;;
e;;;
"
";;;
k;;;
"

 
 
";;;
];;;
1;;;
 ;;;
1;;;
"
";;;
-'L-;;;
T;PER;PER;PER
"
";PER;PER;PER
L-;PER;PER;PER
"


";PER;PER;PER
I;PER;PER;PER
"
";PER;PER;PER
e;PER;PER;PER
"

";;;
1ll;;;
"
";;;
i;;;
(;;;
"
";;;
l-;;;
"
";;;
1a;;;
"
";;;
1;;;
"

";;;
1;;;
';;;
.;;;
"
";;;
-T;;;
"
";;;
g-----asas;;;
-;;;
L';;;
AFFAIRE;;;
BOUCOYRAN;;;
"

";;;
pas;;;
.;;;
Ils;;;
prirent;;;
position;;;
tous;;;
les;;;
trois;;;
au;;;
milieu;;;
de;;;
l';;;
etude;;;
et;;;
,;;;
jusqu;;;
';;;
"
";;;
leur;;;
sortie;;;
,;;;
ne;;;
regarderent;;;
pas;;;
une;;;
seule;;;
fois;;;
de;;;
mon;;;
cote;;;
.;;;
"
";;;
";";;;
T::--;PER;PER;PER
"
";;;
remplir;;;
une;;;
mission;;;
penible;;;
,;;;
tres;MISC;MISC;MISC
penible;MISC;MISC;MISC
.;;;
Un;;;
de;;;
vos;;;
maftres;;;
s';;;
est;;;
"
";;;
rendu;;;
coupable;;;
d';;;
une;;;
faute;;;
si;;;
grave;;;
,;;;
qu';;;
il;;;
est;;;
de;;;
notre;;;
devoir;;;
de;;;
lui;;;
"
";;;
infliger;;;
un;;;
blame;;;
public;;;
.;;;
"
";;;
La;;;
-;;;
dessus;;;
le;;;
voilha;;;
parti;;;
a;;;
m';;;
infliger;;;
un;;;
blame;;;
qui;;;
dura;;;
au;;;
moins;;;
"
";;;
un;;;
grand;;;
quart;;;
d';;;
heure;;;
.;;;
Tous;;;
les;;;
faits;;;
denatures;;;
:;;;
le;;;
marquis;;;
etait;;;
le;;;
"
";;;
meilleur;;;
eleve;;;
du;;;
college;;;
";";;;
je;;;
l';;;
avais;;;
brutalise;;;
sans;;;
raison;;;
,;;;
sans;;;
excuse;;;
.;;;
"
";;;
Enfin;;;
,;;;
j';;;
avais;;;
manque;;;
a;;;
tous;;;
mes;;;
devoirs;;;
.;;;
"
";;;
"3;.-";;;.-
"
";;;
principal;;;
....;;;
Mais;;;
le;;;
principal;;;
ne;;;
m';;;
ecoutait;;;
pas;;;
,;;;
et;;;
il;;;
m';;;
infligea;;;
son;;;
"
";;;
blame;;;
jusqu';;;
au;;;
bout;;;
.;;;
"
";;;
Apres;LOC;LOC;LOC
lui;;;
,;;;
M.;PER;PER;PER
de;PER;PER;PER
Boucoyran;PER;PER;PER
,;;;
le;;;
pere;;;
,;;;
prit;;;
la;;;
parole;;;
et;;;
de;;;
quelle;;;
"
";;;
faconl;;;
...;;;
Un;;;
veritable;;;
requisitoire;;;
.;;;
Malheureux;;;
perel;PER;PER;PER
On;;;
lui;;;
avait;;;
"
";;;
presque;;;
assassine;;;
son;;;
enfant;;;
.;;;
Sur;;;
ce;;;
pauvre;;;
petit;;;
etre;;;
sans;;;
defense;;;
,;;;
on;;;
"
";;;
s';;;
etait;;;
rue;;;
comme;;;
...;;;
comme;;;
...;;;
comment;;;
dirait;;;
-il;;;
...;;;
comme;;;
un;;;
buffle;;;
,;;;
"
";;;
comme;;;
un;;;
buffle;;;
sauvage;;;
.;;;
ILL';;;
enfant;;;
gardait;;;
le;;;
lit;;;
depuis;;;
deux;;;
jours;;;
.;;;
"
";;;
Depuis;;;
deux;;;
jours;;;
,;;;
sa;;;
mere;;;
,;;;
en;;;
larmes;;;
,;;;
le;;;
veillait;;;
...;;;
"
";;;
Ah;;;
s';;;
il;;;
avait;;;
eu;;;
affaire;;;
a;;;
un;;;
homme;;;
,;;;
c';;;
est;;;
lui;;;
,;;;
M.;PER;PER;PER
de;PER;PER;PER
Boucoyran;LOC;LOC;LOC
"
";;;
le;;;
pere;;;
,;;;
qui;;;
se;;;
serait;;;
charge;;;
de;;;
venger;;;
son;;;
enfantl;;;
Mais;;;
On;;;
n';;;
etait;;;
"
";;;
qu';;;
un;;;
galopin;;;
dont;;;
il;;;
avait;;;
pitie;;;
.;;;
Seulement;;;
qu';;;
On;;;
se;;;
le;;;
tint;;;
pour;;;
dit;;;
:;;;
"
";;;
si;;;
jamais;;;
On;;;
touchait;;;
encore;;;
a;;;
un;;;
cheveu;;;
de;;;
son;;;
fils;;;
,;;;
On;;;
se;;;
ferait;;;
"
";;;
couper;;;
les;;;
deux;;;
oreilles;;;
tout;;;
net;;;
...;;;
"
";;;
Pendant;;;
ce;;;
beau;;;
discours;;;
,;;;
les;;;
eleves;;;
riaient;;;
sous;;;
cape;;;
,;;;
et;;;
les;;;
clefs;;;
"
";;;
de;;;
M.;PER;PER;PER
Viot;PER;PER;PER
fretillaient;;;
de;;;
plaisir;;;
.;;;
Debout;ORG;ORG;ORG
,;;;
dans;;;
sa;;;
chaire;;;
,;;;
pale;;;
de;;;
rage;;;
,;;;
"
";;;
le;;;
pauvre;;;
On;;;
ecoutait;;;
toutes;;;
ces;;;
injures;;;
,;;;
devorait;;;
toutes;;;
ces;;;
humi-;;;
"
";;;
liations;;;
et;;;
se;;;
gardait;;;
bien;;;
de;;;
repondre;;;
.;;;
Si;;;
On;;;
avait;;;
repondu;;;
,;;;
On;;;
aurait;;;
"
";;;
ete;;;
chasse;;;
du;;;
college;;;
";";;;
et;;;
alors;;;
oi;;;
allerh;;;
"
";;;
Enfin;;;
,;;;
au;;;
bout;;;
d';;;
une;;;
heure;;;
,;;;
quand;;;
ils;;;
furent;;;
a;;;
sec;;;
d';;;
eloquence;;;
,;;;
"
";;;
ces;;;
trois;;;
messieurs;;;
se;;;
retirerent;;;
.;;;
Derriere;;;
eux;;;
,;;;
il;;;
se;;;
fit;;;
dans;;;
l';;;
etude;;;
"
";;;
un;;;
grand;;;
brouhaha;;;
.;;;
';;;
essayai;;;
,;;;
mais;;;
vainement;;;
,;;;
d';;;
obtenir;;;
un;;;
peu;;;
de;;;
"
";;;
silence;;;
";";;;
les;;;
enfants;;;
me;;;
riaient;;;
au;;;
nez;;;
.;;;
L';;;
affaire;;;
Boucoyran;LOC;LOC;LOC
avait;;;
acheve;;;
"
";;;
de;;;
tuer;;;
mon;;;
autorite;ORG;ORG;ORG
.;;;
"
";;;
Ohl;PER;PER;PER
ce;;;
fut;;;
une;;;
terrible;;;
affairel;;;
"
";;;
Toute;;;
la;;;
ville;;;
s';;;
en;;;
emut;;;
...;;;
Au;;;
Petit-Cercle;LOC;LOC;LOC
,;;;
au;;;
Grand-Cercle;LOC;LOC;LOC
,;;;
dans74;;;
"
";;;
LE;PER;PER;PER
PETIT;PER;PER;PER
CHOSE;PER;PER;PER
"
";;;
les;;;
cafes;;;
,;;;
a;;;
la;;;
musique;;;
,;;;
on;;;
ne;;;
parlait;;;
pas;;;
d';;;
autre;;;
chose;;;
.;;;
Les;;;
gens;;;
bien;;;
"
";;;
informes;;;
donnaient;;;
des;;;
details;;;
a;;;
faire;;;
dresser;;;
les;;;
cheveux;;;
.;;;
Il;;;
parait;;;
"
";;;
que;;;
ce;;;
maitre;;;
d';;;
etudes;;;
etait;;;
un;;;
monstre;;;
,;;;
un;;;
ogre;;;
.;;;
Il;;;
avait;;;
torture;;;
"
";;;
l';;;
enfant;;;
avec;;;
des;;;
raffinements;;;
inouis;;;
de;;;
cruaute;;;
.;;;
En;;;
parlant;;;
de;;;
lui;;;
,;;;
"
";;;
on;;;
ne;;;
disait;;;
plus;;;
que;;;
 ;;;
le;;;
bourreau;;;
.;;;
"
";;;
Quand;;;
le;;;
jeune;;;
Boucoyran;LOC;LOC;LOC
s';;;
ennuya;;;
de;;;
rester;;;
au;;;
lit;;;
,;;;
ses;;;
parents;;;
"
";;;
l';;;
installerent;;;
sur;;;
une;;;
chaise;;;
longue;;;
,;;;
au;;;
plus;;;
bel;;;
endroit;;;
de;;;
leur;;;
"
";;;
salon;;;
,;;;
et;;;
pendant;;;
huit;;;
jours;;;
,;;;
ce;;;
fut;;;
a;;;
travers;;;
ce;;;
salon;;;
une;;;
procession;;;
"
";;;
interminable;;;
.;;;
L';;;
interessante;;;
victime;;;
etait;;;
l';;;
objet;;;
de;;;
toutes;;;
les;;;
atten-;;;
"
";;;
tions;;;
.;;;
"
";;;
Vingt;;;
fois;;;
de;;;
suite;;;
,;;;
on;;;
lui;;;
faisait;;;
raconter;;;
son;;;
histoire;;;
,;;;
et;;;
a;;;
chaque;;;
"
";;;
fois;;;
le;;;
miserable;;;
inventait;;;
quelque;;;
nouveau;;;
detail;;;
.;;;
Les;;;
meres;;;
fremis-;;;
"
";;;
saient;;;
";";;;
les;;;
vieilles;;;
demoiselles;;;
l';;;
appelaient;;;
pauvre;;;
angel;PER;PER;PER
et;;;
lui;;;
"
";;;
glissaient;;;
des;;;
bonbons;;;
.;;;
Le;;;
journal;;;
de;;;
l';;;
opposition;;;
profita;;;
de;;;
l';;;
aventure;;;
"
";;;
et;;;
fulmina;;;
contre;;;
le;;;
college;;;
un;;;
article;;;
terrible;;;
au;;;
profit;;;
d';;;
un;;;
etablis-;;;
"
";;;
sement;;;
religieux;;;
des;;;
environs;;;
...;;;
"
";;;
Le;;;
principal;;;
etait;;;
furieux;;;
";";;;
et;;;
,;;;
s';;;
il;;;
ne;;;
me;;;
renvoya;;;
pas;;;
,;;;
je;;;
ne;;;
le;;;
dus;;;
"
";;;
qu';;;
a;;;
la;;;
protection;;;
du;;;
recteur;;;
...;;;
Helas;ORG;ORG;ORG
,;;;
il;;;
et;;;
mieux;;;
valu;;;
pour;;;
moi;;;
etre;;;
"
";;;
renvoye;;;
tout;;;
de;;;
suite;;;
.;;;
Ma;;;
vie;;;
dans;;;
le;;;
college;;;
etait;;;
devenue;;;
impossible;;;
.;;;
"
";;;
Les;;;
enfants;;;
ne;;;
m';;;
ecoutaient;;;
plus;;;
";";;;
au;;;
moindre;;;
mot;;;
,;;;
ils;;;
me;;;
menacaient;;;
"
";;;
de;;;
faire;;;
comme;;;
Boucoyran;LOC;LOC;LOC
,;;;
d';;;
aller;;;
se;;;
plaindre;;;
a;;;
leur;;;
pere;;;
.;;;
e;;;
finis;;;
par;;;
"
";;;
ne;;;
plus;;;
m';;;
occuper;;;
d';;;
eux;;;
.;;;
"
";;;
Au;;;
milieu;;;
de;;;
tout;;;
cela;;;
,;;;
j';;;
avais;;;
une;;;
idee;;;
fixe;;;
:;;;
me;;;
venger;;;
des;;;
Bou-;MISC;MISC;MISC
"
";;;
coyran;;;
.;;;
Je;;;
revoyais;;;
toujours;;;
la;;;
figure;;;
impertinente;;;
du;;;
vieux;;;
marquis;;;
,;;;
"
";;;
et;;;
mes;;;
oreilles;;;
etaient;;;
rouges;;;
de;;;
la;;;
menace;;;
qui;;;
leur;;;
avait;;;
ete;ORG;ORG;ORG
faite;;;
.;;;
"
";;;
D';;;
ailleurs;;;
eusse;;;
-je;;;
voulu;;;
oublier;;;
ces;;;
affronts;;;
,;;;
je;;;
n';;;
aurais;;;
pas;;;
pu;;;
y;;;
par-;;;
"
";;;
venir;;;
";";;;
deux;;;
fois;;;
par;;;
semaine;;;
,;;;
les;;;
jours;;;
de;;;
promenade;;;
,;;;
quand;;;
les;;;
divi-;;;
"
";;;
sions;;;
passaient;;;
devant;;;
le;;;
cafe;;;
de;;;
1'Eveche;;;
,;;;
j';;;
etais;;;
sr;;;
de;;;
trouver;;;
M.;PER;PER;PER
de;;;
"
";;;
Boucoyran;LOC;LOC;LOC
,;;;
le;;;
pere;;;
,;;;
plante;;;
devant;;;
la;;;
porte;;;
,;;;
au;;;
milieu;;;
d';;;
un;;;
groupe;;;
"
";;;
d';;;
officiers;;;
de;;;
la;;;
garnison;;;
,;;;
tous;;;
nu;;;
-;;;
tete;;;
et;;;
leurs;;;
queues;;;
de;;;
billard;;;
a;;;
la;;;
"
";;;
main;;;
.;;;
Ils;;;
nous;;;
regardaient;;;
venir;;;
de;;;
loin;;;
avec;;;
des;;;
rires;;;
goguenards;;;
";";;;
"
";;;
puis;;;
,;;;
quand;;;
la;;;
division;;;
etait;;;
a;;;
portee;;;
de;;;
la;;;
voix;;;
,;;;
le;;;
marquis;;;
criait;;;
tres;;;
"
";;;
fort;;;
,;;;
en;;;
me;;;
toisant;;;
d';;;
un;;;
air;;;
de;;;
provocation;;;
:;;;
a;;;
Bonjour;;;
,;;;
Boucoyranln;PER;PER;PER
"
";PER;PER;PER
-;PER;PER;PER
Bonjour;PER;PER;PER
,;;;
mon;;;
perel;;;
glapissait;;;
l';;;
affreux;;;
enfant;;;
du;;;
milieu;;;
des;;;
"
";;;
rangs;;;
.;;;
Et;;;
les;;;
officiers;;;
,;;;
les;;;
eleves;;;
,;;;
les;;;
garcons;;;
du;;;
cafe;;;
,;;;
tout;;;
le;;;
monde;;;
"
";;;
riait;;;
...;;;
"
";;;
Le;;;
bonjour;;;
Boucoyranl;PER;PER;PER
etait;;;
devenu;;;
un;;;
supplice;;;
pour;;;
moi;;;
,;;;
et;;;
"
";;;
pas;;;
moyen;;;
de;;;
m';;;
y;;;
soustraire;;;
.;;;
Pour;;;
aller;;;
a;;;
la;LOC;LOC;LOC
Prairie;LOC;LOC;LOC
,;;;
il;;;
fallait;;;
absolumentL';;;
AFFAIRE;MISC;MISC;MISC
BOUCOYRAN;LOC;LOC;LOC
"

";;;
passer;;;
devant;;;
le;;;
cafe;;;
de;;;
1'Eveche;;;
,;;;
et;;;
pas;;;
une;;;
fois;;;
mon;;;
persecuteur;;;
ne;;;
"
";;;
manquait;;;
au;;;
rendez-vous;;;
.;;;
"
";;;
J';;;
avais;;;
par;;;
moments;;;
des;;;
envies;;;
folles;;;
d';;;
aller;;;
a;;;
lui;;;
et;;;
de;;;
le;;;
provoquer;;;
";";;;
"
";;;
mais;;;
deux;;;
raisons;;;
me;;;
retenaient;;;
:;;;
d';;;
abord;;;
toujours;;;
la;;;
pcur;;;
d';;;
etre;;;
chasse;;;
,;;;
"
";;;
puis;;;
la;;;
rapiere;;;
du;;;
marquis;;;
,;;;
une;;;
grande;;;
diablesse;;;
de;;;
colichemarde;;;
"
";;;
qui;;;
avait;;;
fait;;;
tant;;;
de;;;
victimes;;;
lorsqu';;;
il;;;
etait;;;
dans;;;
les;;;
gardes-du-corps;LOC;LOC;LOC
.;;;
"
";;;
Pourtant;;;
,;;;
un;;;
jour;;;
,;;;
pousse;;;
a;;;
bout;;;
,;;;
j';;;
allai;;;
trouver;;;
Roger;PER;PER;PER
,;;;
le;;;
maitre;;;
"
";;;
d';;;
armes;;;
et;;;
,;;;
de;;;
but;;;
en;;;
blanc;;;
,;;;
je;;;
lui;;;
declarai;;;
ma;;;
resolution;;;
de;;;
me;;;
mesurer;;;
"
";;;
avec;;;
le;;;
marquis;;;
.;;;
Roger;PER;PER;PER
,;;;
a;;;
qui;;;
je;;;
n';;;
avais;;;
pas;;;
parle;;;
depuis;;;
longtemps;;;
,;;;
"
";;;
m';;;
ecouta;;;
d';;;
abord;;;
avec;;;
une;;;
certaine;;;
reserve;;;
";";;;
mais;;;
,;;;
quand;;;
j';;;
eus;;;
fini;;;
";";;;
"
";;;
il;;;
cut;;;
un;;;
mouvement;;;
d';;;
effusion;;;
et;;;
me;;;
serra;;;
chaleureusement;;;
lcs;PER;PER;PER
deux;;;
"
";;;
mains;;;
.;;;
"
";;;
-;;;
Bravol;PER;PER;PER
monsieur;;;
Daniell;;;
e;;;
le;;;
savais;;;
bien;;;
,;;;
moi;;;
qu';;;
avec;;;
cet;;;
"
";;;
air;;;
-;;;
la;;;
vous;;;
ne;;;
pouviez;;;
pas;;;
etre;;;
un;;;
mouchard;;;
.;;;
Aussi;;;
,;;;
pourquoi;;;
diable;;;
"
";;;
etiez;;;
-vous;;;
toujours;;;
fourre;;;
avec;;;
votre;;;
M.;PER;PER;PER
Viot;PER;PER;PER
?;;;
Enfin;;;
,;;;
on;;;
vous;;;
retrouve;;;
";";;;
"
";;;
tout;;;
est;;;
oubli6;LOC;LOC;LOC
.;;;
Votre;;;
mainl;;;
Vous;MISC;MISC;MISC
etes;MISC;MISC;MISC
un;MISC;MISC;MISC
noble;MISC;MISC;MISC
ceurl;MISC;MISC;MISC
Maintenant;MISC;MISC;MISC
,;;;
a;;;
"
";;;
votre;;;
affairel;;;
Vous;;;
avez;;;
ete;MISC;MISC;MISC
insulte;MISC;MISC;MISC
Bon;MISC;MISC;MISC
.;;;
Vous;;;
voulez;;;
en;;;
tirer;;;
repara-;;;
"
";;;
tion;;;
?;;;
Tres;;;
bien;;;
.;;;
Vous;;;
ne;;;
savez;;;
pas;;;
le;;;
premier;;;
mot;;;
des;;;
armes;;;
?;;;
Bonl;PER;PER;PER
"
";;;
bonl;PER;PER;PER
tres;PER;PER;PER
bienl;PER;PER;PER
tres;PER;PER;PER
bienl;PER;PER;PER
Vous;;;
voulez;;;
que;;;
je;;;
vous;;;
empeche;;;
d';;;
etre;;;
"
";;;
embroche;;;
,;;;
par;;;
ce;;;
vieux;;;
dindon;;;
?;;;
Parfaitl;LOC;LOC;LOC
Venez;LOC;LOC;LOC
 ;;;
la;;;
salle;;;
,;;;
et;;;
,;;;
dans;;;
"
";;;
six;;;
mois;;;
,;;;
c';;;
est;;;
vous;;;
qui;;;
l';;;
embrocherez;;;
.;;;
"
";;;
D';;;
entendre;;;
cet;;;
excellent;;;
Roger;PER;PER;PER
cpouser;;;
ma;;;
querelle;;;
avec;;;
tant;;;
"
";;;
d';;;
ardeur;;;
,;;;
j';;;
etais;;;
rouge;;;
de;;;
plaisir;;;
.;;;
Nous;;;
convinmes;;;
des;;;
lecons;;;
:;;;
trois;;;
"
";;;
heures;;;
par;;;
semaine;;;
";";;;
nous;;;
convinmes;;;
aussi;;;
du;;;
prix;;;
qui;;;
serait;;;
un;;;
prix;;;
"
";;;
exceptionnel;;;
(;;;
exceptionnel;;;
en;;;
effetl;;;
j';;;
appris;;;
plus;;;
tard;;;
qu';;;
on;;;
me;;;
faisait;;;
"
";;;
payer;;;
deux;;;
fois;;;
plus;;;
cher;;;
que;;;
les;;;
autres;;;
);;;
.;;;
Quand;;;
toutes;;;
ces;;;
conventions;;;
"
";;;
furent;;;
reglees;PER;PER;PER
Roger;PER;PER;PER
passa;;;
familierement;;;
son;;;
bras;;;
sous;;;
le;;;
mien;;;
.;;;
"
";;;
-;;;
Monsieur;;;
Daniel;;;
,;;;
me;;;
dit;;;
-il;;;
,;;;
il;;;
est;;;
trop;;;
tard;;;
pour;;;
prendre;;;
"
";;;
aujourd'hui;;;
notre;;;
premiere;;;
lecon;;;
";";;;
mais;;;
nous;;;
pouvons;;;
toujours;;;
aller;;;
"
";;;
conclure;;;
notre;;;
marche;;;
au;;;
cafe;;;
Barbette;;;
...;;;
Allonsl;PER;PER;PER
voyons;;;
,;;;
pas;;;
d';;;
enfan-;;;
"
";;;
tillagel;PER;PER;PER
est;;;
-ce;;;
qu';;;
il;;;
vous;;;
fait;;;
peur;;;
,;;;
par;;;
hasard;;;
,;;;
le;;;
cafe;;;
Barbette;;;
?;;;
...;;;
"
";;;
Venez;LOC;LOC;LOC
donc;;;
,;;;
sacrebleul;PER;PER;PER
tirez;;;
-vous;;;
un;;;
peu;;;
de;;;
ce;;;
saladier;;;
de;;;
cuistre;;;
.;;;
"
";;;
Vous;;;
trouverez;;;
la;;;
-;;;
bas;;;
des;;;
amis;;;
,;;;
de;;;
bons;;;
garcons;;;
,;;;
triple;;;
noml;;;
de;;;
"
";;;
nobles;;;
ceurs;;;
,;;;
et;;;
vous;;;
quitterez;;;
vite;;;
avec;;;
eux;;;
ces;;;
manieres;;;
de;;;
femme-;;;
"
";;;
lette;;;
qui;;;
vous;;;
font;;;
tort;;;
.;;;
"
";;;
Helasl;PER;PER;PER
je;;;
me;;;
laissai;;;
tenter;;;
.;;;
Nous;;;
allames;;;
au;;;
cafe;PER;PER;PER
Barbette;PER;PER;PER
.;;;
Il;;;
etait;;;
"
";;;
toujours;;;
le;;;
meme;;;
,;;;
plein;;;
de;;;
cris;;;
,;;;
de;;;
fumee;;;
,;;;
de;;;
pantalons;;;
garance;;;
";";;;
les;;;
"
";;;
memes;;;
shakos;;;
,;;;
les;;;
memes;;;
ceinturons;;;
pendaient;;;
aux;;;
memes;;;
pateres.6;MISC;MISC;MISC
"
";MISC;MISC;MISC
LE;MISC;MISC;MISC
PETIT;MISC;MISC;MISC
CHOSE;MISC;MISC;MISC
"
";;;
Les;;;
amis;;;
de;;;
Roger;PER;PER;PER
me;;;
recurent;;;
a;;;
bras;;;
ouverts;;;
.;;;
Il;;;
avait;;;
bien;;;
raison;;;
,;;;
"
";;;
c';;;
etaient;;;
tous;;;
de;;;
nobles;;;
ceursl;;;
Quand;;;
ils;;;
connurent;;;
mon;;;
histoire;;;
avec;;;
"
";;;
le;;;
marquis;;;
et;;;
la;;;
resolution;;;
que;;;
j';;;
avais;;;
prise;;;
,;;;
ils;;;
vinrent;;;
l';;;
un;;;
apres;;;
"
";;;
l';;;
autre;;;
,;;;
me;;;
serrer;;;
la;;;
main;;;
:;;;
 ;;;
Bravo;PER;PER;PER
,;;;
jeune;;;
homme;;;
.;;;
Tres;PER;PER;PER
bienln;PER;PER;PER
"
";PER;PER;PER
Moi;;;
aussi;;;
j';;;
ctais;;;
un;;;
noble;;;
ceur;;;
.;;;
Je;;;
fis;;;
venir;;;
un;;;
punch;;;
,;;;
on;;;
but;;;
a;;;
"
";;;
mon;;;
triomphe;;;
,;;;
et;;;
il;;;
fut;;;
decide;;;
entre;;;
nobles;;;
ceurs;;;
que;;;
je;;;
tuerais;;;
le;;;
"
";;;
marquis;;;
de;;;
Boucoyran;LOC;LOC;LOC
ha;;;
la;;;
fin;;;
de;;;
l';;;
annee;;;
scolaire;;;
.;;;
LES;MISC;MISC;MISC
MAUVAIS;MISC;MISC;MISC
JOURS;MISC;MISC;MISC
"
";MISC;MISC;MISC
L';MISC;MISC;MISC
hiver;MISC;MISC;MISC
etait;MISC;MISC;MISC
venu;MISC;MISC;MISC
,;;;
un;;;
hiver;;;
sec;;;
,;;;
terrible;;;
et;;;
noir;;;
,;;;
comme;;;
il;;;
en;;;
fait;;;
"
";;;
dans;;;
ces;;;
pays;;;
de;;;
montagnes;;;
.;;;
Avec;;;
leurs;;;
grands;;;
arbres;;;
sans;;;
feuilles;;;
et;;;
"
";;;
leur;;;
sol;;;
gele;;;
plus;;;
dur;;;
que;;;
la;;;
pierre;;;
,;;;
les;;;
cours;;;
du;;;
college;;;
etaient;;;
tristes;;;
"
";;;
a;;;
voir;;;
.;;;
On;;;
se;;;
levait;;;
avant;;;
le;;;
jour;;;
,;;;
aux;;;
lumieres;;;
";";;;
il;;;
faisait;;;
froid;;;
";";;;
de;;;
la;;;
"
";;;
glace;;;
dans;;;
les;;;
lavabos;;;
...;;;
Les;;;
eleves;;;
n';;;
en;;;
finissaient;;;
plus;;;
";";;;
la;;;
cloche;;;
etait;;;
"
";;;
obligee;;;
de;;;
les;;;
appeler;;;
plusieurs;;;
fois;;;
.;;;
aPlus;;;
vite;;;
,;;;
messieurs;;;
criaient;;;
"
";;;
les;;;
maftres;;;
en;;;
marchant;;;
de;;;
long;;;
en;;;
large;;;
pour;;;
se;;;
rechauffer;;;
...;;;
On;;;
"
";;;
formait;;;
les;;;
rangs;;;
en;;;
silence;;;
,;;;
tant;;;
bien;;;
que;;;
mal;;;
,;;;
et;;;
on;;;
descendait;;;
a;;;
"
";;;
travers;;;
le;;;
grand;;;
escalier;;;
a;;;
peine;;;
eclaire;;;
et;;;
les;;;
longs;;;
corridors;;;
ou;;;
souf-;;;
"
";;;
flaient;;;
les;;;
bises;;;
mortelles;;;
de;;;
l';;;
hiver;;;
.;;;
"
";;;
Un;MISC;MISC;MISC
mauvais;MISC;MISC;MISC
hiver;MISC;MISC;MISC
pour;MISC;MISC;MISC
