Token;Label_AB;Label_AA;Label_CF;Label_LM;Label_MB
choseavee;;;;;
son;;;;;
pain;;;;;
,;;;;;
];;;;;
"
";;;;;
ou;;;;;
bien;;;;;
des;;;;;
legumes;;;;;
pour;;;;;
mettre;;;;;
dans;;;;;
le;;;;;
pot;;;;;
";";;;;;
et;;;;;
"
";;;;;
quand;;;;;
on;;;;;
fisait;;;;;
de;;;;;
la;;;;;
galett;LOC;LOC;LOC;LOC;LOC
dans;;;;;
les;;;;;
mtairies;;;;;
,;;;;;
];;;;;
"
";;;;;
l';;;;;
on;;;;;
gardait;;;;;
toujours;;;;;
la;;;;;
part;;;;;
de;;;;;
la;;;;;
petite;;;;;
Jeanne.]ENANCI;ORG;ORG;ORG;ORG;ORG
D;ORG;ORG;ORG;ORG;ORG
JEANNH;ORG;ORG;ORG;ORG;ORG
.;;;;;
"
";;;;;
autherino;PER;PER;PER;PER;PER
garto;PER;PER;PER;PER;PER
lo;PER;PER;PER;PER;PER
Ilt;;;;;
.;;;;;
"
";;;;;
lanne;PER;PER;PER;PER;PER
eontinua;PER;PER;PER;PER;PER
d';;;;;
uller;;;;;
troia;;;;;
fois;;;;;
par;;;;;
semaine;;;;;
"
";;;;;
ohe;;;;;
Mme;PER;PER;PER;PER;PER
Dumont;PER;PER;PER;PER;PER
,;;;;;
Les;MISC;MISC;MISC;MISC;MISC
deux;MISC;MISC;MISC;MISC;MISC
demoiselles;MISC;MISC;MISC;MISC;MISC
avuiant;MISC;MISC;MISC;MISC;MISC
"
";;;;;
antreprias;PER;PER;PER;PER;PER
de;;;;;
lui;;;;;
aensoigner;PER;PER;PER;PER;PER
a;;;;;
lira;;;;;
et;;;;;
a;;;;;
eomper;PER;PER;PER;PER;PER
";";;;;;
ellas;PER;PER;PER;PER;PER
"
";;;;;
eontinuaint;;;;;
de;;;;;
lui;;;;;
apprendrei;LOC;LOC;LOC;LOC;LOC
trieoter;LOC;LOC;LOC;LOC;LOC
,;;;;;
at;LOC;LOC;LOC;LOC;LOC
chaquo;LOC;LOC;LOC;LOC;LOC
"
";;;;;
vendredi;;;;;
allo;PER;PER;PER;PER;PER
avait;;;;;
ses;;;;;
cinquanto;;;;;
centimes;;;;;
.;;;;;
"
";;;;;
Elle;;;;;
fut;;;;;
toute;;;;;
une;;;;;
semuine;PER;PER;PER;PER;PER
sans;;;;;
venir;;;;;
.;;;;;
"
";;;;;
a;;;;;
Io;LOC;LOC;LOC;LOC;LOC
eruins;;;;;
bien;;;;;
que;;;;;
eanne;;;;;
ne;;;;;
soit;;;;;
malade;;;;;
,;;;;;
dit;;;;;
"
";;;;;
Nme;PER;PER;PER;PER;PER
Dumont;PER;PER;PER;PER;PER
";";;;;;
ello;;;;;
,;;;;;
qui;;;;;
oest;;;;;
si;;;;;
exueto;;;;;
,;;;;;
na;;;;;
pas;;;;;
paru;;;;;
"
";;;;;
depuis;;;;;
huit;;;;;
jours;;;;;
.;;;;;
"
";;;;;
--;;;;;
Maman;PER;PER;PER;PER;PER
,;;;;;
allons;;;;;
la;;;;;
voirl;;;;;
J';;;;;
aime;;;;;
beaucoup;;;;;
la;;;;;
"
";;;;;
petite;;;;;
Jeanne;PER;PER;PER;PER;PER
";";;;;;
si;;;;;
lle;;;;;
6tait;;;;;
malade;;;;;
,;;;;;
il;;;;;
faudrit;;;;;
"
";;;;;
venir;;;;;
h;;;;;
son;;;;;
aseeours;;;;;
:;;;;;
elle;;;;;
est;;;;;
trop;;;;;
pauvre;;;;;
pour;;;;;
se;;;;;
"
";;;;;
proeurer;;;;;
ce;;;;;
dont;;;;;
elle;;;;;
a;;;;;
besoin;;;;;
.;;;;;
"
";;;;;
Rt;LOC;LOC;LOC;LOC;LOC
en;;;;;
deant;;;;;
cela;;;;;
Isuire;PER;PER;PER;PER;PER
courut;;;;;
appeler;;;;;
sa;;;;;
seur;;;;;
"
";;;;;
et;;;;;
mettre;;;;;
son;;;;;
chaeau;;;;;
.;;;;;
"
";;;;;
En;;;;;
arrivant;;;;;
chez;;;;;
la;;;;;
mre;LOC;LOC;LOC;LOC;LOC
Nannette;LOC;LOC;LOC;LOC;LOC
,;;;;;
ces;;;;;
dames;;;;;
"
";;;;;
virent;;;;;
Ia;PER;PER;PER;PER;PER
petite;;;;;
Jeanne;PER;PER;PER;PER;PER
qui;;;;;
pleurait;;;;;
a;;;;;
la;;;;;
porte;;;;;
de;;;;;
"
";;;;;
la;;;;;
maison;;;;;
.;;;;;
Isaure;PER;PER;PER;PER;PER
courut;;;;;
h;;;;;
elle;;;;;
:;;;;;
"
";;;;;
s;;;;;
Tu;;;;;
pleuses;;;;;
,;;;;;
petite;;;;;
Jeanne;PER;PER;PER;PER;PER
quas;PER;PER;PER;PER;PER
-;;;;;
tut;;;;;
qui;;;;;
t';;;;;
a;;;;;
"
";;;;;
fhait;;;;;
du;;;;;
chagrin;;;;;
"
";;;;;
-;;;;;
Mademoiselle;;;;;
,;;;;;
eest;;;;;
que;;;;;
maman;;;;;
est;;;;;
bian;;;;;
"
";;;;;
malade;;;;;
.;;;;;
"
";;;;;
Mme;PER;PER;PER;PER;PER
Dumont;PER;PER;PER;PER;PER
laissa;;;;;
ses;;;;;
filles;;;;;
avee;;;;;
lJeanne;PER;PER;PER;PER;PER
,;;;;;
et;;;;;
"
";;;;;
entra;;;;;
dans;;;;;
Ila;PER;PER;PER;PER;PER
maison;PER;PER;PER;PER;PER
.;;;;;
Catherine;PER;PER;PER;PER;PER
etit;;;;;
au;;;;;
lit;;;;;
,;;;;;
si;;;;;
];;;;;
"
";;;;;
ple;;;;;
qu';;;;;
on;;;;;
laurait;;;;;
crue;;;;;
morte;;;;;
d6ja;;;;;
.;;;;;
"
";;;;;
a;;;;;
Pourquoi;;;;;
ne;;;;;
m';;;;;
avoir;;;;;
pas;;;;;
fait;;;;;
dire;;;;;
que;;;;;
vous;;;;;
"
";;;;;
6tie;;;;;
malade;;;;;
,;;;;;
ma;;;;;
pauvre;;;;;
femme;;;;;
Ce;;;;;
n';;;;;
est;;;;;
pas;;;;;
];;;;;
"
";;;;;
bien;;;;;
cela;;;;;
";";;;;;
il;;;;;
fhallait;;;;;
envoyer;;;;;
votre;;;;;
petite;;;;;
fille;;;;;
nous;;;;;
"
";;;;;
avertir;;;;;
.;;;;;
FLMIRRE;;;;;
PAHTIB;MISC;MISC;MISC;MISC;MISC
.;;;;;
"
";;;;;
-;;;;;
larei;;;;;
,;;;;;
ma;LOC;LOC;LOC;LOC;LOC
chbre;LOC;LOC;LOC;LOC;LOC
dum;LOC;LOC;LOC;LOC;LOC
";";;;;;
mals;;;;;
vous;;;;;
tes;;;;;
si;;;;;
"
";;;;;
gnrouss;PER;PER;PER;PER;PER
pour;;;;;
ello;PER;PER;PER;PER;PER
,;;;;;
que;;;;;
j;MISC;MISC;MISC;MISC;MISC
n';MISC;MISC;MISC;MISC;MISC
ui;MISC;MISC;MISC;MISC;MISC
pnae;MISC;MISC;MISC;MISC;MISC
voulu;;;;;
ahusor;;;;;
"
";;;;;
de;;;;;
votre;;;;;
bont6;ORG;ORG;ORG;ORG;ORG
.;;;;;
buaillours;;;;;
,;;;;;
i;;;;;
n';;;;;
aurai;;;;;
hientt;;;;;
plus;;;;;
"
";;;;;
baesoin;;;;;
da;;;;;
rion;;;;;
,;;;;;
];;;;;
o;;;;;
la;;;;;
asans;LOC;LOC;LOC;LOC;LOC
";";;;;;
';;;;;
ai;;;;;
trap;MISC;MISC;MISC;MISC;MISC
pti;MISC;MISC;MISC;MISC;MISC
lepuis;MISC;MISC;MISC;MISC;MISC
tutt;MISC;MISC;MISC;MISC;MISC
"
";;;;;
];;;;;
ai;;;;;
peslu;;;;;
mn;;;;;
mari;;;;;
,;;;;;
et;;;;;
jai;;;;;
eu;;;;;
trop;;;;;
de;;;;;
hagi;PER;PER;PER;PER;PER
.;;;;;
"
";;;;;
is;;;;;
hon;PER;PER;PER;PER;PER
Diou;PER;PER;PER;PER;PER
a;;;;;
piti6;;;;;
d;;;;;
moi;;;;;
";";;;;;
il;;;;;
ma;;;;;
rppelle;;;;;
i;;;;;
lui;;;;;
,;;;;;
"
";;;;;
ot;PER;PER;PER;PER;PER
jo;PER;PER;PER;PER;PER
vaias;PER;PER;PER;PER;PER
rsjoiadra;PER;PER;PER;PER;PER
mon;;;;;
puuvra;;;;;
aaques;;;;;
.;;;;;
Tout;;;;;
c;MISC;MISC;MISC;MISC;MISC
"
";;;;;
qul;PER;PER;PER;PER;PER
m';PER;PER;PER;PER;PER
afllige;PER;PER;PER;PER;PER
,;;;;;
e';PER;PER;PER;PER;PER
est;;;;;
de;;;;;
laisser;;;;;
ma;;;;;
petite;;;;;
leanne;;;;;
seul;;;;;
"
";;;;;
uu;;;;;
monde;;;;;
.;;;;;
"
";;;;;
-;;;;;
Il;;;;;
ne;;;;;
faut;;;;;
pas;;;;;
perdro;;;;;
eourage;;;;;
,;;;;;
Ctherine;PER;PER;PER;PER;PER
";";;;;;
"
";;;;;
vous;;;;;
etes;;;;;
jeune;;;;;
,;;;;;
et;;;;;
h;;;;;
votro;;;;;
ge;;;;;
il;;;;;
y;;;;;
a;;;;;
toujours;;;;;
de;;;;;
"
";;;;;
la;;;;;
ressource;;;;;
.;;;;;
"
";;;;;
-;;;;;
Non;;;;;
,;;;;;
madame;;;;;
,;;;;;
il;;;;;
n';;;;;
y;;;;;
a;;;;;
plus;;;;;
de;;;;;
rssouree;PER;PER;PER;PER;PER
,;;;;;
"
";;;;;
paree;;;;;
que;;;;;
le;;;;;
chagrin;;;;;
et;;;;;
la;;;;;
misre;ORG;ORG;ORG;ORG;ORG
me;;;;;
minent;;;;;
depuis;;;;;
"
";;;;;
trop;;;;;
longtemps;;;;;
.;;;;;
"
";;;;;
--;;;;;
IAvez;ORG;ORG;ORG;ORG;ORG
-vous;;;;;
vu;;;;;
M;PER;PER;PER;PER;PER
,;;;;;
le;;;;;
eur6;LOC;LOC;LOC;LOC;LOC
"
";LOC;LOC;LOC;LOC;LOC
-;;;;;
Oui;;;;;
,;;;;;
mulume;PER;PER;PER;PER;PER
,;;;;;
il;;;;;
vient;;;;;
me;;;;;
voir;;;;;
tous;;;;;
les;;;;;
jours;;;;;
"
";;;;;
et;;;;;
a;;;;;
la;;;;;
bont6;ORG;ORG;ORG;ORG;ORG
de;;;;;
m';;;;;
envoyer;;;;;
un;;;;;
peu;;;;;
';;;;;
de;;;;;
bouillon;;;;;
.;;;;;
Il;;;;;
"
";;;;;
me;;;;;
console;;;;;
en;;;;;
me;;;;;
faisant;;;;;
voir;;;;;
la;;;;;
mis6ricorde;;;;;
de;;;;;
"
";;;;;
Dieu;MISC;MISC;MISC;MISC;MISC
,;;;;;
qui;;;;;
a;;;;;
mis;;;;;
sur;;;;;
mon;;;;;
chemin;;;;;
une;;;;;
aussi;;;;;
"
";;;;;
digne;;;;;
iemme;;;;;
que;;;;;
Ia;;;;;
mre;;;;;
Nannette;LOC;LOC;LOC;LOC;LOC
,;;;;;
ainsi;;;;;
que;;;;;
"
";;;;;
vous;;;;;
,;;;;;
madame;;;;;
,;;;;;
qui;;;;;
avez;;;;;
tant;;;;;
de;;;;;
bont6s;;;;;
pour;;;;;
"
";;;;;
ma;;;;;
fille;;;;;
.;;;;;
La;;;;;
mbre;MISC;MISC;MISC;MISC;MISC
Nannette;MISC;MISC;MISC;MISC;MISC
promet;;;;;
de;;;;;
la;;;;;
garder;;;;;
"
";;;;;
quand;;;;;
je;;;;;
ne;;;;;
serai;;;;;
plus;;;;;
,;;;;;
et;;;;;
cela;;;;;
me;;;;;
tranquillise;;;;;
"
";;;;;
un;;;;;
peu;;;;;
.;;;;;
"
";;;;;
--;;;;;
Ctherine;PER;PER;PER;PER;PER
,;;;;;
je;;;;;
n';;;;;
ubandonnerai;;;;;
pas;;;;;
Jeanne;PER;PER;PER;PER;PER
non;;;;;
"
";;;;;
plus;;;;;
,;;;;;
vous;;;;;
pouve;;;;;
etre;;;;;
tranquille;;;;;
.;;;;;
Mais;;;;;
o;;;;;
est;;;;;
done;;;;;
"
";;;;;
la;;;;;
mre;MISC;MISC;MISC;MISC;MISC
Nannette;MISC;MISC;MISC;MISC;MISC
?;;;;;
"
";;;;;
--;;;;;
Elle;;;;;
est;;;;;
all6e;;;;;
mener;;;;;
son;;;;;
h6tail;;;;;
h;;;;;
l';;;;;
abreuvoir;;;;;
.;;;;;
"
";;;;;
La;;;;;
puvre;;;;;
ehere;;;;;
femme;;;;;
me;;;;;
quitte;;;;;
le;;;;;
moins;;;;;
quelle;;;;;
"
";;;;;
le;;;;;
peut;;;;;
";";;;;;
elle;;;;;
me;;;;;
soigne;;;;;
oomme;;;;;
si;;;;;
j';;;;;
etais;;;;;
sa;;;;;
fille;;;;;
et;;;;;
"
";;;;;
ne;;;;;
me;;;;;
laisse;;;;;
manquer;;;;;
de;;;;;
rien;;;;;
.;;;;;
EMANCR;;;;;
DR;;;;;
JBANNR;ORG;ORG;ORG;ORG;ORG
.;;;;;
"
";;;;;
--;;;;;
Adiau;PER;PER;PER;PER;PER
,;;;;;
Catherina;PER;PER;PER;PER;PER
,;;;;;
prene;PER;PER;PER;PER;PER
awurug;PER;PER;PER;PER;PER
";";;;;;
j;;;;;
roe-;;;;;
"
";;;;;
viendrui;;;;;
vous;;;;;
vair;;;;;
aprs;;;;;
-;;;;;
daemain;;;;;
.;;;;;
"
";;;;;
En;MISC;MISC;MISC;MISC;MISC
disant;MISC;MISC;MISC;MISC;MISC
eola;MISC;MISC;MISC;MISC;MISC
,;;;;;
Mm;PER;PER;PER;PER;PER
Dumont;PER;PER;PER;PER;PER
lui;;;;;
donna;;;;;
une;;;;;
"
";;;;;
piee;;;;;
de;;;;;
oin;PER;PER;PER;PER;PER
frnes;PER;PER;PER;PER;PER
.;;;;;
"
";;;;;
atherine;PER;PER;PER;PER;PER
meurt;;;;;
.;;;;;
"
";;;;;
Le;LOC;LOC;LOC;LOC;LOC
surlendemuin;LOC;LOC;LOC;LOC;LOC
,;;;;;
ces;;;;;
dums;MISC;MISC;MISC;MISC;MISC
ratournront;;;;;
vuit;;;;;
"
";;;;;
tCatharine;LOC;LOC;LOC;LOC;LOC
.;;;;;
En;;;;;
ontrant;;;;;
,;;;;;
ellas;LOC;LOC;LOC;LOC;LOC
romurqurent;;;;;
quo;;;;;
les;;;;;
"
";;;;;
rFidnux;MISC;MISC;MISC;MISC;MISC
do;;;;;
son;;;;;
lit;;;;;
taiont;;;;;
ferms;;;;;
";";;;;;
dans;;;;;
un;;;;;
eoin;;;;;
"
";;;;;
de;;;;;
la;;;;;
chambre;;;;;
,;;;;;
Ia;PER;PER;PER;PER;PER
mre;PER;PER;PER;PER;PER
Nunnetto;PER;PER;PER;PER;PER
tenait;;;;;
la;;;;;
pe-;;;;;
"
";;;;;
tite;PER;PER;PER;PER;PER
leanne;PER;PER;PER;PER;PER
qui;;;;;
s';;;;;
etait;;;;;
endormie;;;;;
sur;;;;;
ses;;;;;
genoux;;;;;
.;;;;;
"
";;;;;
Mme;PER;PER;PER;PER;PER
Dumont;PER;PER;PER;PER;PER
sapprocha;;;;;
.;;;;;
"
";;;;;
a;;;;;
Cest;PER;PER;PER;PER;PER
fini;;;;;
,;;;;;
ma;;;;;
chbre;;;;;
damo;;;;;
:;;;;;
la;;;;;
puuvre;LOC;LOC;LOC;LOC;LOC
me;;;;;
est;;;;;
"
";;;;;
allee;;;;;
au;;;;;
bon;MISC;MISC;MISC;MISC;MISC
Dieu;MISC;MISC;MISC;MISC;MISC
";";;;;;
elle;;;;;
est;;;;;
morte;;;;;
comme;;;;;
une;;;;;
"
";;;;;
sainte;;;;;
.;;;;;
M.;;;;;
le;;;;;
cur6;MISC;MISC;MISC;MISC;MISC
,;;;;;
qui;;;;;
ne;;;;;
l';;;;;
a;;;;;
pas;;;;;
quittee;;;;;
,;;;;;
assure;;;;;
"
";;;;;
quil;;;;;
y;;;;;
a;;;;;
bien;;;;;
longtemps;;;;;
qu';;;;;
il;;;;;
n';;;;;
a;;;;;
vu;;;;;
une;;;;;
mort;;;;;
"
";;;;;
pareille;;;;;
.;;;;;
"
";;;;;
-;;;;;
Et;;;;;
qu';;;;;
alles;;;;;
-vous;;;;;
faire;;;;;
de;;;;;
cette;;;;;
enfant;;;;;
?;;;;;
"
";;;;;
-;;;;;
Je;;;;;
-;;;;;
vais;;;;;
la;;;;;
gurder;;;;;
avee;;;;;
moi;;;;;
,;;;;;
madame;;;;;
";";;;;;
comme;;;;;
"
";;;;;
je;;;;;
le;;;;;
disais;;;;;
hier;;;;;
 ;;;;;
M.;;;;;
le;;;;;
cure;;;;;
,;;;;;
e';LOC;LOC;LOC;LOC;LOC
est;;;;;
l;;;;;
bon;;;;;
Dieu;;;;;
"
";;;;;
qui;;;;;
me;;;;;
la;;;;;
envoyee;;;;;
";";;;;;
elle;;;;;
prendra;;;;;
soin;;;;;
de;;;;;
ma;;;;;
vieil-;;;;;
"
";;;;;
lesse;;;;;
comme;;;;;
je;;;;;
vais;;;;;
prendre;;;;;
soin;;;;;
de;;;;;
son;;;;;
en-;;;;;
"
";;;;;
fance;;;;;
.;;;;;
"
";;;;;
-;;;;;
Lenverre;;;;;
-vous;;;;;
enore;;;;;
mendier;;;;;
"
";;;;;
-;;;;;
Ohl;PER;PER;PER;PER;PER
non;;;;;
,;;;;;
madame;;;;;
.;;;;;
Je;;;;;
ne;;;;;
suis;;;;;
pas;;;;;
riche;;;;;
,;;;;;
"
";;;;;
mais;;;;;
il;;;;;
y;;;;;
aura;;;;;
bien;;;;;
asses;;;;;
de;;;;;
pain;;;;;
ici;;;;;
pour;;;;;
nous;;;;;
"
";;;;;
deux;;;;;
.;;;;;
D';;;;;
ailleurs;;;;;
,;;;;;
la;;;;;
voil;;;;;
en;;;;;
age;;;;;
de;;;;;
me;;;;;
rendre;;;;;
des;;;;;
"
";;;;;
services;;;;;
qui;;;;;
me;;;;;
payeront;;;;;
sa;;;;;
nourriture;;;;;
.;;;;;
"
";;;;;
--;;;;;
Mre;PER;PER;PER;PER;PER
Nannette;PER;PER;PER;PER;PER
,;;;;;
il;;;;;
faut;;;;;
eontinuer;;;;;
d';;;;;
anvayer;;;;;
"
";;;;;
leanne;PER;PER;PER;PER;PER
i;PER;PER;PER;PER;PER
la;;;;;
maison;;;;;
";";;;;;
mes;;;;;
filles;;;;;
lui;;;;;
apprendront;;;;;
i;MISC;MISC;MISC;MISC;MISC
"
";MISC;MISC;MISC;MISC;MISC
eerire;MISC;MISC;MISC;MISC;MISC
et;;;;;
a;;;;;
faire;;;;;
toutes;;;;;
sortes;;;;;
d';;;;;
ouvrages;;;;;
.;;;;;
Je;;;;;
mePBMtI;;;;;
PANTIk;LOC;LOC;LOC;LOC;LOC
.;;;;;
"
";;;;;
aharga;PER;PER;PER;PER;PER
do;PER;PER;PER;PER;PER
asun;PER;PER;PER;PER;PER
antratian;PER;PER;PER;PER;PER
";";;;;;
ainsi;;;;;
vaus;PER;PER;PER;PER;PER
uaurez;PER;PER;PER;PER;PER
rion;PER;PER;PER;PER;PER
"
";;;;;
h;;;;;
ddponaser;;;;;
pur;;;;;
ella;;;;;
.;;;;;
"
";;;;;
-;;;;;
Quo;ORG;ORG;ORG;ORG;ORG
la;;;;;
hon;;;;;
Dieu;;;;;
vous;;;;;
oonsorvo;;;;;
,;;;;;
ma;;;;;
ohbra;;;;;
"
";;;;;
damel;;;;;
En;;;;;
apprenant;;;;;
h;;;;;
lonnna;;;;;
h;;;;;
truvuiller;;;;;
,;;;;;
vaus;PER;PER;PER;PER;PER
"
";;;;;
froa;;;;;
plus;;;;;
qua;;;;;
moi;;;;;
pour;;;;;
olla;PER;PER;PER;PER;PER
:;;;;;
vaus;PER;PER;PER;PER;PER
lui;;;;;
mettreg;;;;;
la;;;;;
"
";;;;;
pain;;;;;
a;;;;;
la;;;;;
main;;;;;
pour;;;;;
tout;;;;;
sn;;;;;
ioe;;;;;
..;;;;;
"
";;;;;
--;;;;;
Miro;PER;PER;PER;PER;PER
Nunnatte;PER;PER;PER;PER;PER
,;;;;;
voici;;;;;
quinza;PER;PER;PER;PER;PER
franes;PER;PER;PER;PER;PER
pour;;;;;
faira;;;;;
"
";;;;;
anterrer;PER;PER;PER;PER;PER
catto;PER;PER;PER;PER;PER
puuvrae;PER;PER;PER;PER;PER
fmune;PER;PER;PER;PER;PER
";";;;;;
il;;;;;
na;;;;;
faut;;;;;
pas;;;;;
qu6;;;;;
"
";;;;;
css;MISC;MISC;MISC;MISC;MISC
frais;;;;;
-;;;;;
lh;;;;;
retombent;;;;;
 ;;;;;
votro;;;;;
chuarg;;;;;
.;;;;;
"
";;;;;
Daollt8;MISC;MISC;MISC;MISC;MISC
et;;;;;
intolligenee;;;;;
de;;;;;
la;;;;;
psetite;;;;;
eanne;;;;;
.;;;;;
"
";;;;;
Quelques;;;;;
jours;;;;;
aprs;;;;;
lu;;;;;
ort;MISC;MISC;MISC;MISC;MISC
de;MISC;MISC;MISC;MISC;MISC
sa;MISC;MISC;MISC;MISC;MISC
mhro;MISC;MISC;MISC;MISC;MISC
,;;;;;
leanne;LOC;LOC;LOC;LOC;LOC
"
";;;;;
ualla;;;;;
chez;;;;;
Mme;PER;PER;PER;PER;PER
Dumont;PER;PER;PER;PER;PER
";";;;;;
on;;;;;
lui;;;;;
mit;;;;;
des;;;;;
bas;;;;;
et;;;;;
un;;;;;
"
";;;;;
Ilchu;LOC;LOC;LOC;LOC;LOC
noirs;;;;;
pour;;;;;
qu';;;;;
elle;;;;;
portt;;;;;
le;;;;;
deuil;;;;;
.;;;;;
Le;;;;;
diman-;;;;;
"
";;;;;
ehe;;;;;
suivant;;;;;
,;;;;;
Sophiie;PER;PER;PER;PER;PER
lhabilla;PER;PER;PER;PER;PER
tout;;;;;
en;;;;;
noir;;;;;
.;;;;;
"
";;;;;
ILn;PER;PER;PER;PER;PER
pauvre;;;;;
enfant;;;;;
tait;;;;;
bien;;;;;
triste;;;;;
";";;;;;
elle;;;;;
pleurait;;;;;
"
";;;;;
toujours;;;;;
on;;;;;
pensunt;;;;;
h;;;;;
sa;;;;;
mre;;;;;
";";;;;;
ses;;;;;
yeux;;;;;
6taient;;;;;
"
";;;;;
rouges;;;;;
et;;;;;
gonfl6s;;;;;
";";;;;;
ello;;;;;
ne;;;;;
dsait;;;;;
rien;;;;;
et;;;;;
ne;;;;;
man-;;;;;
"
";;;;;
geit;;;;;
presue;;;;;
pas;;;;;
.;;;;;
On;;;;;
la;;;;;
trouvit;;;;;
souvent;;;;;
" 
";;;;;
noux;PER;PER;PER;PER;PER
,;;;;;
priint;PER;PER;PER;PER;PER
Dieu;PER;PER;PER;PER;PER
.;;;;;
n;;;;;
mbrs;;;;;
Nannette;LOC;LOC;LOC;LOC;LOC
eigesit;;;;;
"
";;;;;
qw';;;;;
lle;;;;;
ne;;;;;
tombt;ORG;ORG;ORG;ORG;ORG
milade;ORG;ORG;ORG;ORG;ORG
";";;;;;
mais;;;;;
,;;;;;
emme;;;;;
elle;;;;;
nar;;;;;
"
";;;;;
ait;;;;;
que;;;;;
huit;;;;;
ans;;;;;
bien;;;;;
juste;;;;;
,;;;;;
elle;;;;;
fnit;;;;;
par;;;;;
oublier;;;;;
"
";;;;;
un;;;;;
peu;;;;;
.;;;;;
Elle;;;;;
continua;;;;;
daller;;;;;
ches;;;;;
Mme;PER;PER;PER;PER;PER
Dumont;PER;PER;PER;PER;PER
,;;;;;
"
";;;;;
et;;;;;
elle;;;;;
apprenait;;;;;
ts;;;;;
-;;;;;
vite;;;;;
tout;;;;;
ce;;;;;
qu';;;;;
on;;;;;
lui;;;;;
mon-;;;;;
"
";;;;;
trait;;;;;
.;;;;;
ILes;LOC;LOC;LOC;LOC;LOC
deux;;;;;
jeunes;;;;;
demoiselles;;;;;
,;;;;;
n;;;;;
la;;;;;
trouvant;;;;;
"
";;;;;
si;;;;;
doeile;;;;;
et;;;;;
si;;;;;
travailleuse;;;;;
,;;;;;
';;;;;
attaehrent;;;;;
 ;;;;;
alle;;;;;
de;;;;;
"
";;;;;
plus;;;;;
en;;;;;
pls;;;;;
.;;;;;
M.;;;;;
le;;;;;
eur;ORG;ORG;ORG;ORG;ORG
,;;;;;
qui;;;;;
la;;;;;
voyait;;;;;
teujouss;PER;PER;PER;PER;PER
"
";;;;;
ags;;;;;
 ;;;;;
l';;;;;
iglise;;;;;
,;;;;;
lui;;;;;
donnit;;;;;
de;;;;;
temps;;;;;
ee;;;;;
tmpee;PER;PER;PER;PER;PER
"
";PER;PER;PER;PER;PER
is;PER;PER;PER;PER;PER
tigs;PER;PER;PER;PER;PER
.;;;;;
ouanl;PER;PER;PER;PER;PER
lle;PER;PER;PER;PER;PER
sut;;;;;
bisi;PER;PER;PER;PER;PER
r;PER;PER;PER;PER;PER
,;;;;;
il;;;;;
Iui;PER;PER;PER;PER;PER
t;;;;;
"
";;;;;
aadeau;;;;;
d';;;;;
un;;;;;
petit;;;;;
livre;;;;;
d';;;;;
heures;;;;;
,;;;;;
ce;;;;;
qui;;;;;
la;;;;;
rendit;;;;;
"
";;;;;
fort;;;;;
ceontente;;;;;
.;;;;;
NANCR;;;;;
D;;;;;
JEANN;MISC;MISC;MISC;MISC;MISC
,;;;;;
.;;;;;
"
";;;;;
A;;;;;
';;;;;
aga;;;;;
da;;;;;
douzs;;;;;
ans;;;;;
,;;;;;
olla;PER;PER;PER;PER;PER
lisait;;;;;
et;;;;;
aerivait;;;;;
bian;;;;;
";";;;;;
"
";;;;;
ollo;PER;PER;PER;PER;PER
faiaait;;;;;
toutes;;;;;
ortes;;;;;
douvrages;;;;;
avao;;;;;
heaueop;;;;;
"
";;;;;
d';;;;;
adresse;;;;;
.;;;;;
ILa;MISC;MISC;MISC;MISC;MISC
mbre;;;;;
Nunnetto;;;;;
lui;;;;;
avait;;;;;
apris;;;;;
h;;;;;
fller;;;;;
";";;;;;
"
";;;;;
at;;;;;
d6ih;;;;;
son;;;;;
fll;MISC;MISC;MISC;MISC;MISC
6tait;;;;;
plus;;;;;
fln;;;;;
qu;;;;;
calui;;;;;
daes;;;;;
autres;;;;;
"
";;;;;
fileues;;;;;
du;;;;;
herg;LOC;LOC;LOC;LOC;LOC
,;;;;;
arae;;;;;
quelle;;;;;
uit;;;;;
bien;;;;;
utten-;;;;;
"
";;;;;
tive;;;;;
 ;;;;;
co;;;;;
qu';;;;;
ello;PER;PER;PER;PER;PER
faiaait;PER;PER;PER;PER;PER
.;;;;;
"
";;;;;
ia;;;;;
ptite;;;;;
eunno;;;;;
faft;PER;PER;PER;PER;PER
sa;;;;;
raemibra;PER;PER;PER;PER;PER
oommnntan;PER;PER;PER;PER;PER
.;;;;;
"
";;;;;
Il;;;;;
y;;;;;
aait;;;;;
d6ji;;;;;
un;;;;;
an;;;;;
que;;;;;
lennne;;;;;
allait;;;;;
h;;;;;
l';;;;;
in-;;;;;
"
";;;;;
struetioni;;;;;
do;;;;;
lu;;;;;
puaroisse;;;;;
avee;;;;;
les;;;;;
autres;;;;;
enfants;;;;;
,;;;;;
"
";;;;;
quand;;;;;
M.;PER;PER;PER;PER;PER
le;;;;;
cur6;;;;;
lui;;;;;
donna;;;;;
un;;;;;
Cntdchiame;PER;PER;PER;PER;PER
et;;;;;
une;;;;;
"
";;;;;
IIistoire;MISC;MISC;MISC;MISC;MISC
suinte;;;;;
pour;;;;;
qu';;;;;
elle;;;;;
les;;;;;
apprlt;;;;;
pnr;;;;;
cour;;;;;
.;;;;;
"
";;;;;
Mme;PER;PER;PER;PER;PER
bDumont;PER;PER;PER;PER;PER
,;;;;;
qui;;;;;
lui;;;;;
en;;;;;
faisnit;;;;;
ricitar;;;;;
un;;;;;
chapitre;;;;;
